"aps_folio","aps_entidad","adm_tom_con_med_dom","adm_tom_con_med_sin_fun_dom","adm_tom_sin_med_dom","adm_tom_con_med_ind","adm_tom_con_med_sin_fun_ind","adm_tom_sin_med_ind","adm_tom_con_med_com","adm_tom_con_med_sin_fun_com","adm_tom_sin_med_com","adm_tom_con_med_pub","adm_tom_con_med_sin_fun_pub","adm_tom_sin_med_pub","adm_tom_con_med_mix","adm_tom_con_med_sin_fun_mix","adm_tom_sin_med_mix","adm_tom_con_med_tot","adm_tom_con_med_sin_fun_tot","adm_tom_sin_med_tot","adm_fact_agua","adm_cf_tom_num_dom","adm_cf_recibos_dom","adm_cf_facturado_dom","adm_cf_recaudado_dom","adm_cf_vol_sum_dom","adm_cf_fact_men_dom","adm_cf_fact_bim_dom","adm_cf_fact_tri_dom","adm_cf_fact_otr_dom","adm_cf_tom_num_ind","adm_cf_recibos_ind","adm_cf_facturado_ind","adm_cf_recaudado_ind","adm_cf_vol_sum_ind","adm_cf_fact_men_ind","adm_cf_fact_bim_ind","adm_cf_fact_tri_ind","adm_cf_fact_otr_ind","adm_cf_tom_num_com","adm_cf_recibos_com","adm_cf_facturado_com","adm_cf_recaudado_com","adm_cf_vol_sum_com","adm_cf_fact_men_com","adm_cf_fact_bim_com","adm_cf_fact_tri_com","adm_cf_fact_otr_com","adm_cf_tom_num_pub","adm_cf_recibos_pub","adm_cf_facturado_pub","adm_cf_recaudado_pub","adm_cf_vol_sum_pub","adm_cf_fact_men_pub","adm_cf_fact_bim_pub","adm_cf_fact_tri_pub","adm_cf_fact_otr_pub","adm_cf_tom_num_mix","adm_cf_recibos_mix","adm_cf_facturado_mix","adm_cf_recaudado_mix","adm_cf_vol_sum_mix","adm_cf_fact_men_mix","adm_cf_fact_bim_mix","adm_cf_fact_tri_mix","adm_cf_fact_otr_mix","adm_cf_razn_cuota_fija","adm_cf_razn_cuota_fija_esp","adm_sm_tom_num_dom","adm_sm_recibos_dom","adm_sm_facturado_dom","adm_sm_recaudado_dom","adm_sm_vol_sum_dom","adm_sm_fact_men_dom","adm_sm_fact_bim_dom","adm_sm_fact_tri_dom","adm_sm_fact_otr_dom","adm_sm_tom_num_ind","adm_sm_recibos_ind","adm_sm_facturado_ind","adm_sm_recaudado_ind","adm_sm_vol_sum_ind","adm_sm_fact_men_ind","adm_sm_fact_bim_ind","adm_sm_fact_tri_ind","adm_sm_fact_otr_ind","adm_sm_tom_num_com","adm_sm_recibos_com","adm_sm_facturado_com","adm_sm_recaudado_com","adm_sm_vol_sum_com","adm_sm_fact_men_com","adm_sm_fact_bim_com","adm_sm_fact_tri_com","adm_sm_fact_otr_com","adm_sm_tom_num_pub","adm_sm_recibos_pub","adm_sm_facturado_pub","adm_sm_recaudado_pub","adm_sm_vol_sum_pub","adm_sm_fact_men_pub","adm_sm_fact_bim_pub","adm_sm_fact_tri_pub","adm_sm_fact_otr_pub","adm_sm_tom_num_mix","adm_sm_recibos_mix","adm_sm_facturado_mix","adm_sm_recaudado_mix","adm_sm_vol_sum_mix","adm_sm_fact_men_mix","adm_sm_fact_bim_mix","adm_sm_fact_tri_mix","adm_sm_fact_otr_mix","adm_ajuste_tar","adm_ajuste_tar_num","adm_ajuste_tar_cnf","adm_ajuste_tar_cnf_otro_esp","adm_med_multas_dom","adm_med_requeri_dom","adm_med_convenio_dom","adm_med_reducc_dom","adm_med_suspen_dom","adm_med_embarg_dom","adm_med_otra_dom","adm_med_otra_esp_dom","adm_med_no_med_dom","adm_med_multas_ind","adm_med_requeri_ind","adm_med_convenio_ind","adm_med_reducc_ind","adm_med_suspen_ind","adm_med_embarg_ind","adm_med_otra_ind","adm_med_otra_esp_ind","adm_med_no_med_ind","adm_med_multas_com","adm_med_requeri_com","adm_med_convenio_com","adm_med_reducc_com","adm_med_suspen_com","adm_med_embarg_com","adm_med_otra_com","adm_med_otra_esp_com","adm_med_no_med_com","adm_med_multas_mix","adm_med_requeri_mix","adm_med_convenio_mix","adm_med_reducc_mix","adm_med_suspen_mix","adm_med_embarg_mix","adm_med_otra_mix","adm_med_otra_esp_mix","adm_med_no_med_mix","adm_recibo_contacto","adm_recibo_tarifa","adm_recibo_limite","adm_recibo_cic_fact","adm_recibo_hist_con","adm_recibo_fact_mod","adm_recibo_fact_pago","adm_recibo_horario","adm_recibo_deuda","adm_egr_elect_capta","adm_egr_desinf","adm_egr_elect_potab","adm_egr_quim_potab","adm_egr_elect_trata","adm_egr_quim_trata","adm_egr_renum","adm_egr_der_explota","adm_egr_der_cuerpos","adm_egr_tot_deprecia","adm_egr_total","adm_ing_agua","adm_ing_agua_trat","adm_ing_eje_ant","adm_ing_der_conx","adm_ing_der_alcan","adm_ing_vnt_lodos","adm_ing_agua_pipa","adm_ing_otros","adm_ing_sub_fed","adm_ing_sub_est","adm_ing_sub_mun","adm_ing_multas","adm_ing_total"
"10001","10","0","3581","0","0","1","0","0","331","0","0","59","0","0","0","0","0","3972","0","1","3581","3581","3222900","2803923","429720","1","0","0","0","1","1","24204","21057","6000","1","0","0","0","331","331","357480","311008","794400","1","0","0","0","59","59","0","0","22343","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","1","0","0","1","0","0","0","","0","0","0","0","0","0","0","0","","0","1","0","1","0","0","0","0","","0","0","0","0","0","0","0","0","","0","1","1","1","1","1","1","1","2","1","1277601","25000","0","0","0","0","1392568","254000","0","639462","3588631","2125693","0","0","0","468596","0","0","0","0","0","0","0","2594289"
"10002","10","0","0","246","0","0","0","0","0","36","0","0","17","0","0","35","0","0","334","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13000","0","0","0","0","13000"
"10003","10","0","0","184","0","0","0","0","0","25","0","0","8","0","0","0","0","0","214","1","184","184","10200","1250","0","1","0","0","0","0","0","0","0","0","0","0","0","0","25","25","1250","250","0","1","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","1","2","1","2","2","2","2","2","2","2","69600","0","0","0","0","0","52800","0","0","0","122400","18000","0","0","0","0","0","0","0","0","0","0","0","18000"
"10004","10","1640","0","1605","0","0","0","214","0","0","0","0","0","0","0","0","1854","0","1605","1","1605","9630","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","1640","9840","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","214","1284","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","0","1","1","0","1","0","0","","0","0","0","0","0","0","0","0","","0","0","1","1","0","1","0","0","","0","0","0","0","0","0","0","0","","0","1","1","1","1","2","1","2","2","1","905000","0","0","0","0","0","0","92000","0","0","997000","2287205.13","0","0","69450","0","0","0","151622.32","0","0","0","0","2508277.45"
"10005","10","96095","11384","65257","482","12","35","9064","299","2175","638","23","284","0","0","0","106279","11718","67751","1","44072","528864","27551166.92","24623275.52","199749","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","128663","1543956","174314089","149211338","778451","1","0","0","0","529","6348","15502967","14643422","3298","1","0","0","0","11538","138456","52178175","50319064","69646","1","0","0","0","945","11340","19880783","18183443","3649","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","1","1","1","0","1","0","0","","0","1","1","1","0","1","0","0","","0","1","1","1","0","1","0","0","","0","0","0","0","0","0","0","0","","0","1","1","1","1","1","1","1","2","1","68434849.98","709285.61","0","0","12894274.02","14312394.96","101084689.12","14375332","0","1345969.05","213156794.74","186132099.1","1041154.22","16165959.16","80493.38","24845077.16","0","0","14063290.41","71799658.99","43079795.39","28719863.59","4720528.17","390647919.57"
"10006","10","0","0","480","0","0","0","0","0","0","0","0","5","0","0","0","0","0","485","1","480","320","19200","12800","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","0","1","1","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","1","1","1","1","2","2","1","2","2","0","0","0","0","0","0","48000","0","0","0","48000","12800","0","0","0","0","0","0","0","0","0","0","0","12800"
"10007","10","29894","0","55005","607","0","58","2613","0","790","239","0","199","139","0","298","33492","0","56350","1","58412","700944","49767423","40809286.9","15342360","1","0","0","0","58","696","903523","722818.4","45744","1","0","0","0","841","10092","2826501","2261200.8","111564","1","0","0","0","0","0","0","0","0","0","0","0","0","200","2400","313679","0","35557","1","0","0","0","1","","25859","310308","32926038","26334585","3456048","1","0","0","0","607","7284","51904956","48931006","1415976","1","0","0","0","2752","33024","24983661","30901458","90720","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","","1","1","1","1","1","0","0","","0","1","1","1","1","1","0","0","","0","1","1","1","1","1","0","0","","0","1","1","1","1","1","0","0","","0","1","1","1","1","2","1","1","2","1","62606388","352734","0","0","500000","0","67873951","9875825","0","0","141208898","137113893","7758090","0","369088","28611171","0","76845","0","0","0","0","1966157","175895244"
"10008","10","0","0","5663","0","0","36","0","0","479","0","0","0","0","0","0","0","0","6178","1","5663","5663","0","6116040","1653596","1","0","0","0","36","36","0","183600","19440","1","0","0","0","479","479","0","904720","104901","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","0","1","1","0","1","0","0","","0","1","1","0","0","1","0","0","","0","0","1","1","0","1","0","0","","0","0","0","0","0","0","0","0","","0","1","1","1","2","2","2","2","2","1","2965365","739982","0","0","0","0","2131022","0","0","0","5836369","5388880","0","0","223000","45000","0","35000","53000","0","0","0","0","5744880"
"10009","10","0","0","901","0","0","0","0","0","7","0","0","0","0","0","0","0","0","908","1","901","82","1300","1300","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","2","700","700","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","","0","1","0","1","1","0","0","0","0","0","15240","0","0","0","0","0","0","0","0","0","15240","23332","0","0","0","0","0","0","0","0","0","0","0","23332"
"1001","01","248798","1243","29826","201","3","33","11595","71","680","1238","33","102","0","0","0","261832","1351","30642","1","8811","105732","16015990","12851320","9938883","1","0","0","0","491","5892","2046693","1642266","626394","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","ÁREAS DE POBLACIÓN DE BAJOS RECURSOS","237879","2854548","573167784","461115376","40164472","1","0","0","0","8058","96696","170982503","137196361","2805716","1","0","0","0","185","2220","27064266","21716367","377327","1","0","0","0","1362","16344","10673790","8564649","1850977","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6","1","","1","1","1","1","0","0","0","","0","1","1","1","0","1","0","0","","0","1","1","1","0","1","0","0","","0","0","0","0","0","0","0","0","","0","1","1","1","1","1","1","1","2","1","155097822","279716436","0","0","0","0","93394969","179510774","0","0","707720001","643086249","0","0","0","0","0","0","0","0","0","0","0","643086249"
