"agua_prog_id_serial","agua_prog_folio","agua_prog_nom_rasgo","agua_prog_ambito"
"7","03008","PRODI","3"
"8","03008","PRODDER","3"
"9","03009","PROGRAMA DE CULTURA DEL AGUA (PROAGUA)","3"
"10","03001","PROAGUA","3"
"21","24021","USO Y MEDICIÓN DEL AGUA","3"
"41","24050","CULTURA DEL AGUA","3"
"72","03003","PROGRAMA DE INCENTIVOS PARA LA OPERACIÓN DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES PROTAR","3"
"73","24020","AGUA LIMPIA","3"
"81","27017","CULTURA DEL AGUA","3"
"87","03002","FAIS","3"
"88","03002","FOIS","1"
"89","03002","PROAGUA, APARTADO URBANO (APAUR)","3"
"90","03002","PROGRAMA DE TRATAMIENTO DE AGUAS RESIDUALES (PROSAN)","3"
"92","27016","CULTURA DEL AGUA","3"
"101","27002","CULTURA DEL AGUA","3"
"106","30071","PRODDER","3"
"107","30071","ESPACIO DE CULTURA DEL AGUA","3"
"108","24028","(APAUR) AGUA POTABLE, ALCANTAR. Y SANEAMIENTO EN ZONAS URBANAS","3"
"109","24028","(PRODDER) PROGRAMA DE DEVOLUCIÓN DE DERECHOS","3"
"110","27003","CULTURA DEL AGUA","3"
"111","27005","CULTURA DEL AGUA","3"
"112","27006","CULTURA DEL AGUA","3"
"121","27007","CULTURA DEL AGUA","3"
"122","27008","CULTURA DEL AGUA","3"
"123","27015","CULTURA DEL AGUA","3"
"124","27014","CULTURA DEL AGUA","3"
"125","27009","CULTURA DEL AGUA","3"
"126","27010","CULTURA DEL AGUA","3"
"127","27013","CULTURA DEL AGUA","3"
"128","27001","PRODDER","3"
"129","27001","PRODI","3"
"130","27001","APAU","3"
"131","27001","AAL","3"
"143","24035","PRODDER","3"
"144","24035","PROME","2"
"161","12060","GUARDIANES DEL AGUA","1"
"181","27012","PROSAN PTAR","3"
"182","20061","AGUA POTABLE","3"
"183","20406","CAPTACIÓN DE AGUAS PLUVIALES","2"
"201","20249","AGUA ENTUBADA","2"
"221","20565","PROAGUA","3"
"222","20565","AGUA LIMPIA","3"
"223","20397","PROGRAMA DE AGUA LIMPIA","3"
"224","20551","CONAGUA","3"
"226","18009","AGUA LIMPIA","3"
"227","18009","CULTURA DE AGUA","3"
"228","20447","CUIDEN EL AGUA COMO SI FUERA SU FAMILIA","1"
"230","20447","TALLERES SOBRE CUIDADO DEL AGUA","1"
"231","20281","AMPLEACIÓN DEL SISTEMA DE AGUA POTABLE","2"
"241","18012","CULTURA DE AGUA","3"
"261","18001","CULTURA DEL AGUA","3"
"262","18001","AGUA LIMPIA","3"
"263","20461","BAÑOSECOLOGICOS","2"
"264","20461","BAÑOS ECOLOGICOS","1"
"265","20469","SEA","2"
"266","20002","CONCIENCIA USO RACIONAL DE AGUA","1"
"267","18017","AGUA LIMPIA","3"
"268","18002","AGUA LIMPIA","3"
"269","18005","ESPACIO DE CULTURA DE AGUA","3"
"270","06008","AGUA LIMPIA","3"
"271","06008","CULTURA DEL AGUA","2"
"272","06008","APAUR","3"
"273","06008","PROSAN","3"
"274","12029","CULTURA DEL AGUA","1"
"275","12029","AGUA LIMPIA","2"
"276","17018","PRODI","3"
"277","17018","PROAGUA","3"
"278","17018","PROSSAPYS","3"
"279","17018","APAZU","3"
"282","06001","PROGRAMA DE SANEAMIENTO DE AGUAS RESIDUALES","3"
"283","06001","PROGRAMA DE AGUA POTABLE ZONAS URBANAS","3"
"284","07101","PROGRAMA ""CUTURA DEL AGUA""","3"
"301","18008","PRODDER","3"
"322","15002","CULTURA DEL AGUA","3"
"325","05002","PRODDER","3"
"326","12035","CULTURA DEL AGUA","3"
"327","18010","PRODDER","3"
"328","18010","CULTURA DE AGUA","3"
"329","18010","AGUA LIMPIA","3"
"330","12037","ESPACIO DE CULTURA DEL AGUA","1"
"331","15058","PROGRAMA DE ACCIONES 2016 (PRODDER)","3"
"332","15058","POA 2016","1"
"333","15096","AGUA LIMPIA","2"
"334","15096","AGUA LIMPIA","3"
"335","12010","CULTURA DEL AGUA","3"
"336","30128","CULTURA DEL AGUA","3"
"337","12021","PLATICAS SOBRE EL USO Y CUIDADO DEL AGUA","1"
"338","12021","PAGO OPORTUNO","1"
"340","12021","DETECCION DE TOMAS CLANDESTINAS","1"
"342","07049","PLANTA DE TRATAMIENTO","2"
"343","07052","PRODDER","3"
"344","07078","TRATAMIENTO DE AGUAS RESIDUALES","3"
"345","07094","FORTALECIMIENTO DE LOS MECANISMOS DE PLANEACION Y MONITOREO","1"
"346","07094","CAPACITACIÓN DEL PERSONAL INSTITUCIONAL MUNICIPAL","1"
"347","06004","APARURAL","3"
"348","06004","APA-RURAL","3"
"349","12045","PROGRAMA DE CULTURA DEL AGUA.","3"
"350","14015","CULTURA DEL AGUA","3"
"351","14015","POA AUTLAN","1"
"352","26040","CUIDADO DEL AGUA","3"
"353","07032","ESPACIO DE CULTURA DEL AGUA","3"
"354","07032","ESPACIO DE CULTURA DEL AGUA","3"
"355","07032","ESPACIO DE CULTURA DEL AGUA","3"
"356","07037","AGUA CON CALIDAD BACTEOROLÓGICA","1"
"357","05018","PRODDER","3"
"358","05018","PRODI","3"
"359","05025","MICROMEDICIÓN","1"
"360","05034","AGUA LIMPIA","2"
"361","05035","PRODDER","3"
"381","15013","PLÁTICAS DE CULTURA DEL AGUA, REUTILIZAR, AGUA POTABLE, USOS Y CUIDADO AGUA TRATADA, AGUA GRIS.","1"
"384","15013","RECORRIDOS, VISITAS A LAS INSTALACIONES DEL ORGANISMO CON LA FINALIDAD DE CONOCER LAS ACTIVIDADES QUE REALIZA S.A.P.A.S.A. DÍA A DÍA.","1"
"401","02002","PROGRAMA DE DEVOLUCION DE DERECHOS ","3"
"402","02002","PROGRAMA DE TRATAMIENTO DE AGUAS RESIDUALES","3"
"403","02002","PROGRAMA DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO EN ZONAS URBANAS ","3"
"404","02002","PROGRAMA AGUA LIMPIA ","3"
"405","02002","PROGRAMA AL MEJORAMIENTO A LA EFICIENCIA ","3"
"406","15091","PROGRAMA DE CULTURA DEL AGUA","1"
"408","06009","CULTURA DEL AGUA","3"
"410","15120","PROGRAMA DE DEVOLUCION DE DERECHOS (PRODDER)","3"
"411","15120","PROGRAMA PARA EL DESARROLLO INTEGRAL DE ORGANISMOS OPERADORES DE AGUA (PRODI)","3"
"413","15057","PROSANEAR - PROGRAMA DE SANEAMIENTO DE AGUAS RESIDUALES","3"
"415","15039","FISMDF(2016)","3"
"416","17006","CULTURA DDEL AGUA","3"
"417","17006","PROSAN","3"
"418","17006","PRODI","3"
"419","17006","PROAGUA","3"
"420","17006","MANO CON MANO","1"
"421","12075","RAMO 33","3"
"422","12075","RAMO 26","3"
"442","26019","PLATICAS ESCOLARES","1"
"443","26019","PLATICAS ESCOLARES","2"
