"folio","con_ex_p","dis_ex_p","res_ex_p","con_re_p","dis_re_p","res_re_p","totl_tom","tom_mun","tom_loc","t_cm_dom","t_cms_do","t_sm_dom","t_cm_ind","t_cms_in","t_sm_ind","t_cm_com","t_cms_co","t_sm_com","t_cm_pub","t_cms_pu","t_sm_pub","t_cm_mix","t_cms_mx","t_sm_mix","t_cm_tot","t_cms_to","t_sm_tot","factu_ag","fac_cufi","razcufij","c_fija_e","fac_srvm","aj_tarif","ajutarec","ajtarcnf","aj_cnf_e","esq_agua","boni_tar","fon_soli","fom_ahor","otro_esq","oesq_esp","el_capta","desin_ag","el_siste","el_potab","quim_pot","el_trata","quim_tra","remu_agu","remu_dre","remu_tra","der_expl","der_cuer","reha_man","dep_acti","otr_gast","total","ing_agua","agua_tra","saneamie","conexion","der_alca","vnt_lodo","agua_pip","otro_ing","sub_fede","sub_esta","sub_muni","multas","ej_anter","total_in"
"1001","306.26","2468.87","NA","2117.01","4597.56","NA","329552","NSS","NSS","256315","13619","36971","268","NA","56","14037","NA","6677","1609","NA","NA","NA","NA","NA","272229","13619","43704","1","1","1","","1","2","1","0","","1","4541","NA","NA","","","248465852","15976577","NA","NA","NA","NA","NA","NA","NA","NA","166880227","NA","NA","NA","643422089","1074744745","864471577","53520.6","NA","25097725.83","NA","NA","NA","NA","NA","NA","NA","NA","NA","889622823.43"
"1002","300","300","2","NSS","NSS","NSS","14473","1350","13123","","","14423","","","","","","50","","","","","","","","","14473","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","","145321","624421","","135665","","","","","","","","","","","905407","97341","","81171","651762","84243","","","","","","","","","914517"
"1003","74.86","236.76","","","","","16871","8670","8201","12749","","2592","6","","","1341","","183","","","","","","","14096","","2775","1","1","1","","1","1","1","4","","2","NSS","NA","NA","","","11935031","","","","","","","14876199","","","1585962","26074","","862499","7610817","36896582","35240247","","","","2354701","887601","17964","45870","2220575","","","314296","1464280","42545534"
"1004","2","368","2","","","","4333","1630","2703","NA","NA","4300","NA","NA","1","NA","NA","32","NA","NA","","NA","NA","","NA","NA","4333","1","1","1","","2","1","0","1","","2","NA","NA","NA","","","5460000","50000","","","","","","","","","","","140000","","","5650000","1039000","","","3092000","3092000","","","","","","","","","7223000"
"1005","NSS","NSS","","NSS","NSS","","35095","21111","13984","18800","2335","11346","234","38","64","1610","235","422","9","2","NA","NA","NA","NA","20653","2610","11832","1","1","1","","1","1","0","3","","2","NA","NA","NA","","","35878290","354934.24","193129","","","199518","","","","","1833177","","5595571.46","","18868462.1","62923081.8","77500668.44","NSS","12273065.97","9501956.07","NSS","NSS","79860.03","NSS","978460.64","","3018328.25","3589099.91","3589099.91","110530539.22"
"1006","178","176","","2.5","1.5","","12504","9700","2804","78","5","12072","2","1","115","NA","1","230","NA","NA","NA","NA","NA","NA","80","7","12417","1","1","1","","1","1","0","1","","2","NA","NA","NA","","","307197","","19256946","","","105245","","11961607.63","610541","","1024012","","2028164.39","","","35293713.02","11961607.63","","","688272.25","","","147113.68","","","","3744120","797672.97","","17338786.53"
"1007","NSS","NSS","NSS","NSS","NSS","NSS","16770","10526","6244","10578","NSS","5658","13","NSS","1","252","NSS","139","36","NSS","1","68","NSS","24","10947","NSS","5823","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","19454097.08","NA","NA","NA","NA","NA","NA","NA","NA","NA","1023909","NA","5145473.69","NA","NA","25623479.77","20385590.27","NA","410493.94","899695.6","NA","NA","185083","477788.15","NA","NA","7163323.14","1844402.3","476517.62","31842894.02"
"1008","27","71","3","1","3","","2845","1705","1140","NA","NA","2820","NA","NA","21","NA","NA","4","NA","NA","","NA","NA","NA","NA","NA","2845","1","1","1","","2","1","0","1","","2","NA","NA","NA","NA","","5779986","160000","","","96000","321000","","","14568","","132000","NA","NA","NA","NA","6503554","2122560.9","","","54473","14568","","204833.51","","","","","","204833.51","2601268.92"
"1009","15.7","80.73","","","","","7580","1808","5772","NA","NA","7545","NA","NA","","NA","NA","35","NA","NA","","NA","NA","","NA","NA","7580","1","1","1","","2","2","3","0","","2","NA","NA","NA","NA","","7329422","","","","","","","NA","","","176798","","375000","","","7881220","1926216","","","16600","","","225000","","","","","","","2167816"
"1010","55.3","114.8","","","","","4911","1658","3253","","","4711","","","4","","","48","","","148","","","","","","4911","1","1","1","","2","2","1","0","","1","1378","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4056000","","","","","","","","","","","","","4056000"
"1011","6","300","","2.53","2.53","3.27","17861","7384","10477","9003","227","8114","40","","12","248","9","97","89","3","9","6","2","2","9386","241","8234","1","1","1","","1","1","0","1","","2","NA","NA","NA","","","16015171.3","NA","NA","NA","NA","1042904","NA","NA","NA","NA","662392","NA","1515322.61","682408.39","13724996.05","33643194.35","23985650.92","NA","NA","123314.49","150190.78","NA","36180","NA","670383","NA","3500000","1101098.49","137959.13","29704776.81"
"2001","208","1224","15","","8","","153991","125164","28827","128007","2268","13754","313","8","","8783","","","845","13","","","","","137948","2289","13754","1","1","1","","1","1","0","4","","2","","","","","","22767010.91","1327731.56","21642726.83","745980","646667.86","15270214.97","3721992.99","65267103.65","26501401.76","30939495.57","13564158","2196992","11879320.81","34591422.29","575818916.31","826881135.51","448371881.58","","42828317.96","56686866.95","2290191.11","","","","24000526.25","3300000","","16442798.35","31528870.02","625449452.22"
"2002","9.84","4593","3243","","4.423","","356964","316281","40683","331578","23001","472","227","","","21923","119","1","2761","107","2","","","","356489","23227","475","1","1","1","","1","1","0","4","","1","20710","NA","NA","","","","","","41128288","14505096","34959663","1833180","192007863","112109572","93655435","107941790","24932604","27451741","266204473","852168781","1768898486","1182192878","30662674","","309559356","","257726","820421","9188296","78996232","","","38385171","40698628","1690761382"
"2003","649","536","9","0.9","","","40299","34201","6098","37342","","","2392","","","231","","","236","","","98","","","40299","","","1","2","0","","1","1","0","4","","2","","","","","","986141","1189402","2183803","5987536","1275917","3286607","3369888","","","8358475","41504090.14","2686625","6733916","3670294","225461802","306694496.14","255437257.43","74171.89","","77074428.93","3129128.4","","113910.16","","23505259.7","220000","","3025746.52","596489.8","363176392.8"
