"id_cuota","folio","tipotoma","num_toma","tomas_cm","reci_exp","mont_fac","mont_rec","v_m3_sum","frecfact"
"3841","29058","2","3","","","","1440","","0"
"3842","29058","3","5","","","","2400","","0"
"3843","29058","4","7","","","","3360","","0"
"3845","20298","3","3","","3","3600","3600","30","4"
"3846","30135","1","923","","923","283768.9","283768.9","","0"
"3850","28037","1","502","502","502","121484","72890","10040","0"
"3852","28037","3","81","81","81","24462","14677","1620","0"
"3853","28037","4","14","14","14","4220","2532","280","0"
"3855","26010","1","471","","471","452162","257023","828","0"
"3858","26010","4","15","","15","14400","","150","0"
"3859","28014","1","952","","952","","","","0"
"3860","28014","2","3","","3","","","","0"
"3861","28014","3","50","","50","","","","0"
"3862","28014","4","42","","42","","","","0"
"3864","14064","1","4564","","1401","1952966.38","1953966.38","","0"
"3866","14064","3","15","","","","","","0"
"3878","14071","1","401","","240","2300","2300","","0"
"3884","15087","1","7155","NA","7155","3274818.95","3274818.95","NA","0"
"3885","15124","1","2375","","NA","668884","668884","NA","0"
"3886","14063","3","48","3","32","420786","2560000","1650785","0"
"3887","15096","1","4269","650","2200","5458463","5456463","NSS","0"
"3888","15096","3","129","102","129","520818","520818","NSS","0"
"3889","20298","1","2862","","987","19740","17000","28470","1"
"3897","24009","2","1","","","","","","0"
"3898","20041","1","150","","150","360","10000","4000","0"
"3899","15090","1","6507","316","1726","3583455","3583455","727750","0"
"3903","11019","1","412","","NSS","NSS","NSS","NSS","1"
"3907","19021","4","28","","299","244029","389679","","1"
"3910","7074","4","29","","87","","","36000","1"
"3912","32001","5","","","","","","","1"
"3913","13084","3","1","1","","","","","1"
"3915","27008","2","12","","NA","424447","239134","6187","1"
"3936","13061","1","16842","","","","","","0"
"3937","13061","2","15","","","","","","0"
"3959","12049","4","15","","","","","","0"
"3977","24036","2","1","","","","","","0"
"4007","10006","4","6","","","","","","0"
"4012","10020","4","30","","","","","","0"
"4034","26050","2","12","","12","168390","168390","","0"
"4035","26050","3","11","","11","168390","168390","","0"
"4061","25003","2","","6","","","","","0"
"4063","23006","2","","1","","","","","0"
"4065","20451","4","8","","","","","","0"
"4068","20493","4","4","","","","","","0"
"4114","20344","4","10","","","","","","0"
"4118","20469","4","25","","","","","","0"
"4127","20047","4","9","","","","","","0"
"4156","20506","4","16","","16","","","NA","0"
"4160","20183","4","10","","","","","NA","0"
"4166","15115","1","5109","1335","NA","NA","NA","NA","2"
"4184","3001","2","","1","12","28341.6","202600","1800","1"
"4185","3001","3","87","889","11712","2696338.68","3044038.43","1007100","1"
"4186","3001","4","1271","","","","","193200","1"
"4187","30102","1","2766","","33192","1726608","1225121","339066","1"
"4188","30102","2","10","","120","1265","897","1200","1"
"4189","30102","3","107","","1284","92096","65363","13104","1"
"4190","30102","4","8","","96","","","958","1"
"4191","24015","1","4166","200","49992","2347730.14","2565351.36","514574","1"
"4192","12011","1","5962","","5962","4721904","1578252","468153","1"
"4193","12011","2","60","","60","147600","41835","4348","1"
"4194","12011","3","498","","498","794808","145098","39085","1"
"4195","12013","1","1165","","286","343200","56705","1126840","1"
"4196","24015","3","114","","1368","8401.37","7783.93","1595","1"
"4197","24002","2","1","1","6","504","504","72","1"
"4198","23010","2","","","","","","","1"
"4199","24017","1","402","","4836","275652","41080","7300","1"
"4200","4004","1","2432","","","549830.9","549830.9","2302277.12","1"
"4201","4008","1","2639","","692","204580","204580","NSS","1"
"4202","4008","3","45","","16","6720","6720","NSS","1"
"4203","15068","1","5020","","1817","3089374","3089374","1945359","1"
"4204","8044","1","470","","5640","862058.11","668379.26","135696","1"
"4205","8044","3","2","","24","5699.54","5169.84","577","1"
"4206","8044","4","13","","156","42220.81","39048.22","3753","1"
"4207","25006","1","12369","","152169","16312719","13225451.46","4118040","1"
"4208","25006","2","25","","291","94923","72546.5","8100","1"
"4209","4006","1","2536","","2536","1701656","669504","5072000","1"
"4210","4006","3","92","","92","80224","34223","276000","1"
"4211","30032","1","3931","2078","72108","196190218.67","11321364.071143","157537","1"
"4212","30032","2","2","11","156","4560326.95","24492.8828298982","3504","1"
"4213","30032","3","36","123","1908","17975771.51","299566.797688756","38004","1"
"4214","30032","4","17","4","252","975380.99","39565.4261098356","3212","1"
"4215","20022","1","370","","370","266400","135360","","1"
"4216","20022","4","5","","","3600","3600","","1"
"4217","21217","1","545","","545","116088","91560","151","1"
"4218","17021","1","1300","","5100","2355000","1125000","410000","1"
"4219","30130","1","411","34","5240","594588.48","344976.96","53400","1"
"4220","10015","1","1472","","4995","1258216.87","1258216.87","NSS","1"
"4221","10018","1","1910","","1910","191000","2407635.83","557720","1"
"4222","30143","1","4243","4","50964","5555596.24","2104895.07","23710","1"
"4223","30143","2","2","","24","17805.12","2883.18","240","1"
"4224","30143","3","203","","2436","576670.13","305350.13","2432","1"
"4225","30143","4","7","","84","59135.06","30993.75","880","1"
"4226","17025","1","7160","","7088","3093832","3093832","1873511","1"
"4227","17025","2","1","","1","70145","70145","695","1"
"4228","17025","3","70","","70","160440","160440","35280","1"
"4229","17025","4","2","","","","","300","1"
"4230","20459","4","14","","","540","","","1"
"4231","20567","1","638","","638","420","267960","100000","1"
"4232","15015","1","6678","","2670","839049.69","839049.69","1887094","1"
"4233","12035","1","31452","","","38893543.2","24835737","7575360","1"
"4234","12035","2","235","","","619185.6","407144.48","62160","1"
"4235","12035","3","1317","","","3201240","4071292.92","316560","1"
"4236","12035","4","257","","","802126.8","2090992.24","92160","1"
"4237","5019","1","1053","1786","2840","755156.37","524283.27","251.253","1"
"4238","5019","3","34","33","67","142123.67","34678.41","10275","1"
"4239","5019","4","24","4","24","79884","749390.69","79884","1"
"4240","2004","1","67778","46059","813336","81333600","40666800","4066680","1"
"4241","2004","2","287","196","3444","12054000","11812920","378840","1"
"4242","2004","3","2930","1845","35160","123060000","120598800","3867600","1"
"4243","2004","4","533","374","6396","2238600","1119300","703560","1"
"4244","12053","1","2712","","1843","586456.65","33211.64","225000","1"
"4245","5031","2","","","","","","","1"
"4246","24056","1","2557","","31176","3211128","531074","25980","1"
"4247","24056","3","61","","732","115656","28583","7320","1"
"4248","30050","1","2417","","545","10900","10900","46325","1"
"4249","30049","1","728","116","728","95704","254085","7540","1"
"4250","30049","2","1","2","1","185","563","10","1"
"4251","30049","3","48","31","48","12776","27250","490","1"
"4252","30049","4","1","11","1","259","","10","1"
"4253","30054","1","1912","44","22944","1039475.61","2248393.13","35600","1"
"4254","30054","2","","","","","","","1"
"4255","30054","3","31","10","372","140393.88","73416.73","8120","1"
"4256","30054","4","17","13","204","447499.08","23272.74","5576","1"
"4257","7075","1","8024","","7068","100000","100000","2880000","1"
"4258","20155","1","150","","80","9600","9600","","1"
"4259","30087","3","1","1","12","10113.2","10113.2","480","1"
"4260","12050","1","8150","","8150","489000","440100","733500","1"
"4261","12050","3","540","","540","54000","43200","129600","1"
"4262","12045","1","2560","","663","2611200","338394.44","202176","1"
"4263","12055","1","6107","85","6107","1114109.15","15322819","37282","1"
"4264","12055","2","6","","6","10878.23","15054","37","1"
"4265","12055","3","70","4","70","85148.02","175634","427","1"
"4266","12055","4","78","","78","209947","195707","476","1"
