"id_medid","folio","tipotom3","mult_rec","req_pago","conv_pag","redu_sum","susp_srv","embargos","otra_med","o_med_es","no_medid"
"3814","20359","5","","","","","","","","","1"
"3815","20359","5","","","","","","","","","1"
"3816","20359","5","","","","","","","","","1"
"3817","20359","5","","","","","","","","","1"
"3818","20359","5","","","","","","","","","1"
"3819","20009","5","","","","","","","","","1"
"3820","20009","5","","","","","","","","","1"
"3821","20009","5","","","","","","","","","1"
"3822","20009","5","","","","","","","","","1"
"3823","20009","5","","","","","","","","","1"
"3824","21130","1","1","1","1","1","1","1","","","1"
"3825","30096","5","","","","","","","","","1"
"3826","30096","5","","","","","","","","","1"
"3827","30096","5","","","","","","","","","1"
"3828","30096","5","","","","","","","","","1"
"3829","30096","5","","","","","","","","","1"
"3830","7002","5","","","","","","","","","1"
"3831","7002","5","","","","","","","","","1"
"3832","7002","5","","","","","","","","","1"
"3833","7002","5","","","","","","","","","1"
"3834","20210","5","","","","","","","","","1"
"3835","20425","1","1","","","","","","","",""
"3836","7002","5","","","","","","","","","1"
"3837","31042","5","","","","","","","","","1"
"3838","31042","5","","","","","","","","","1"
"3839","31042","5","","","","","","","","","1"
"3840","30042","5","","","","","","","","","1"
"3841","30042","5","","","","","","","","","1"
"3842","30042","5","","","","","","","","","1"
"3843","30042","5","","","","","","","","","1"
"3844","30042","5","","","","","","","","","1"
"3845","30046","5","","","","","","","","","1"
"3846","30046","5","","","","","","","","","1"
"3847","30046","5","","","","","","","","","1"
"3848","30046","5","","","","","","","","","1"
"3849","30046","5","","","","","","","","","1"
"3850","20498","5","","","","","","","","","1"
"3851","20498","5","","","","","","","","","1"
"3852","20498","5","","","","","","","","","1"
"3853","20498","5","","","","","","","","","1"
"3854","20498","5","","","","","","","","","1"
"3855","30035","5","","","","","","","","","1"
"3856","30035","5","","","","","","","","","1"
"3857","30035","5","","","","","","","","","1"
"3858","30035","5","","","","","","","","","1"
"3859","14117","5","","","","","","","","","1"
"3860","14117","5","","","","","","","","","1"
"3861","14117","5","","","","","","","","","1"
"3862","14117","5","","","","","","","","","1"
"3863","20390","1","","","","","","","","","1"
"3864","30044","3","1","1","1","","1","","","",""
"3865","30044","4","1","1","1","","","","","",""
"3866","30044","1","1","1","1","","1","","","",""
"3867","30044","2","","","","","","","","","1"
"3868","14072","3","1","1","1","1","1","1","","","1"
"3869","14072","4","1","1","1","1","1","1","","","1"
"3870","14072","5","1","1","1","1","1","1","","","1"
"3871","30044","5","","","","","","","","","1"
"3872","20499","2","","","","","","","","","1"
"3873","20499","3","","","","","","","","","1"
"3874","20499","4","","","","","","","","","1"
"3875","20499","1","","","","","","","","","1"
"3876","20499","5","","","","","","","","","1"
"3877","13075","5","","","","","","","","","1"
"3878","13075","5","","","","","","","","","1"
"3879","13075","5","","","","","","","","","1"
"3880","21151","4","","","","","","","","","1"
"3881","30203","1","1","1","1","","1","","","","1"
"3882","2002","1","1","","1","","","","","",""
"3883","30014","4","1","","1","","","","","","1"
"3884","14081","5","","","","","","","","","1"
"3885","26038","1","","","1","","","","","","1"
"3886","15102","1","","","1","","","","","","1"
"3887","26039","5","","","","","","","","","1"
"3888","26039","5","","","","","","","","","1"
"3889","26039","5","","","","","","","","","1"
"3890","20565","1","","1","","","","","","","1"
"3891","10035","1","","1","","","","","","",""
"3892","21076","1","","","","","","","","","1"
"3893","31062","1","1","","","","","","","","1"
"3894","15072","4","1","","","","","","","","1"
"3895","15072","1","1","","","","","","","","1"
"3896","31020","1","","","","","","","","","1"
"3897","3003","4","","","","","","","","","1"
"3898","8025","1","","","","","","","","","1"
"3899","8025","2","","","","","","","","","1"
"3900","26008","1","","","","","","","","","1"
"3901","30081","1","","","","","","","","","1"
"3902","31066","1","","","","","","","","","1"
