"id_recibo","folio","recibcon","si_inclu","no_inclu","no_aplic"
"58","17015","4","","1",""
"59","14047","3","","1",""
"60","19019","6","1","",""
"61","30032","7","","","1"
"62","20249","5","","","1"
"63","20486","8","","","1"
"64","21171","1","","","1"
"65","13064","8","","1",""
"66","11039","4","","1",""
"67","20102","7","","1",""
"68","12032","7","","1",""
"69","25017","7","","1",""
"70","30058","8","","1",""
"71","18016","4","","1",""
"72","20202","2","","1",""
"73","28012","5","1","",""
"74","20191","2","1","",""
"75","20421","2","1","",""
"76","9016","3","1","",""
"77","13010","2","1","",""
"78","10004","1","1","",""
"79","26039","7","","1","1"
"80","26039","11","","1","1"
"81","5010","7","","1","1"
"82","5018","7","","1",""
"83","29032","3","","1",""
"84","29032","4","","1",""
"85","29032","5","","1",""
"86","29032","6","","1",""
"87","29032","7","","1",""
"88","29032","8","","1",""
"89","29032","9","","1",""
"90","29032","11","","1",""
"91","29032","12","","1","1"
"92","30006","3","1","",""
"93","30006","4","","1",""
"94","30006","5","","1",""
"95","30006","6","1","",""
"96","14010","7","1","","1"
"97","32024","8","1","",""
"98","29032","1","1","",""
"99","27010","2","1","",""
"100","15059","7","","","1"
"101","29043","6","","","1"
"102","29043","7","","","1"
"103","29043","8","","","1"
"104","29043","9","","","1"
"105","29043","10","","","1"
"106","29043","11","","","1"
"107","29043","12","","","1"
"108","30208","6","","","1"
"109","30208","7","","","1"
"110","16101","7","","","1"
"111","20362","3","","","1"
"112","20362","4","","","1"
"113","20362","5","","","1"
"114","20362","6","","","1"
"115","20362","7","","","1"
"116","20362","8","","","1"
"117","20362","9","","","1"
"118","20362","10","","","1"
"119","20362","11","","","1"
"120","20362","12","","","1"
"121","30123","4","","","1"
"122","30123","5","","","1"
"123","30123","7","","","1"
"124","30123","8","","","1"
"125","20074","11","","","1"
"126","20074","12","","","1"
"127","20148","1","","","1"
"128","20148","2","","","1"
"129","20148","3","","","1"
"130","20148","4","","","1"
"131","20148","5","","","1"
"132","31052","3","","","1"
"133","31052","6","","","1"
"134","7001","3","","","1"
"135","7001","4","","","1"
"136","7001","5","","","1"
"137","7001","6","","","1"
"138","7001","7","","","1"
"139","31052","7","","","1"
"140","31052","11","","","1"
"141","31052","12","","","1"
"142","30012","6","","","1"
"143","30012","7","","","1"
"144","15058","4","","","1"
"145","15058","5","","","1"
"146","15058","7","","","1"
"147","20060","1","","","1"
"148","20060","2","","","1"
"149","20060","3","","","1"
"150","20060","4","","","1"
"151","20060","5","","","1"
"152","20060","6","","","1"
"153","20060","7","","","1"
"154","8046","1","","",""
"155","20060","8","","","1"
"156","20060","9","","","1"
"157","20060","10","","","1"
"158","20060","11","","","1"
"159","20060","12","","","1"
"160","8057","1","","","1"
"161","8057","2","","","1"
"162","8057","3","","","1"
"163","8057","4","","","1"
"164","8057","5","","","1"
"165","8057","6","","","1"
"166","8057","7","","","1"
"167","13003","3","","","1"
"168","8057","8","","","1"
"169","8057","9","","","1"
"170","8057","10","","","1"
"171","8057","11","","","1"
"172","8057","12","","","1"
"173","16101","3","","","1"
"174","16101","4","","","1"
"175","16101","5","","","1"
"176","13038","1","","","1"
"177","13038","2","","","1"
"178","13038","3","","","1"
"179","13038","4","","","1"
"180","13038","5","","","1"
"181","13038","6","","","1"
"182","13038","7","","","1"
"183","13038","8","","","1"
"184","13038","9","","","1"
"185","13038","10","","","1"
"186","13038","11","","","1"
"187","13038","12","","","1"
"188","12054","1","","","1"
"189","12054","2","","","1"
"190","12054","3","","","1"
"191","12054","4","","","1"
"192","12054","5","","","1"
"193","12054","7","","","1"
"194","12054","8","","","1"
"195","12054","9","","","1"
"196","12054","10","","","1"
"197","12054","11","","","1"
"198","12058","6","","","1"
"199","12058","7","","","1"
"200","12058","8","","","1"
"201","20530","1","","","1"
"202","20530","3","","","1"
"203","20530","4","","","1"
"204","20530","5","","","1"
"205","20530","6","","","1"
"206","20530","7","","","1"
"207","30114","1","","",""
"208","20530","8","","","1"
"209","20530","9","","","1"
"210","20530","10","","","1"
"211","20530","11","","","1"
"212","15052","4","","","1"
"213","15052","12","","","1"
"214","20146","6","","","1"
"215","20146","7","","","1"
"216","20146","12","","","1"
"217","15015","1","","","1"
"218","15015","2","","","1"
"219","15015","3","","","1"
"220","15015","4","","","1"
"221","15015","5","","","1"
"222","15015","6","","","1"
"223","15015","7","","","1"
"224","15015","8","","","1"
"225","15015","9","","","1"
"226","15015","10","","","1"
"227","15015","11","","","1"
"228","15015","12","","","1"
"229","5019","7","","","1"
"230","12012","4","","","1"
"231","12012","5","","","1"
"232","12012","7","","","1"
"233","12012","9","","","1"
"234","12012","10","","","1"
"235","12012","11","","","1"
"236","12035","1","","","1"
"237","12035","2","","","1"
"238","12035","3","","","1"
"239","12035","4","","","1"
"240","12035","5","","","1"
"241","12035","6","","","1"
"242","12035","7","","","1"
"243","12035","8","","","1"
"244","12035","9","","","1"
"245","12035","10","","","1"
"246","12035","11","","","1"
"247","12035","12","","","1"
"248","24006","1","","","1"
"249","24006","2","","","1"
"250","24006","3","","","1"
"251","24006","4","","","1"
"252","24006","5","","","1"
"253","24006","6","","","1"
"254","24006","7","","","1"
"255","24006","8","","","1"
"256","24006","9","","","1"
