"id_serv","folio","tipotom2","num_tom","recib_ex","mon_fact","mon_reca","v_sum_m3","frecfac2"
"3807","13058","1","97","","","9450.6","","0"
"3809","13058","3","15","","","3563.76","","0"
"3821","14030","1","2582","","10720219","10720219","1340027","0"
"3823","14030","3","412","","3901215","3901215","487652","0"
"3826","15028","1","3680","NSS","NSS","NSS","NSS","0"
"3828","15090","1","316","1360","182844","182844","192250","0"
"3829","15090","2","23","138","1509954","1509954","52995","0"
"3830","15090","3","59","295","158698","158698","17666","0"
"3831","16053","1","142166","842112","332152002","271002818.4318","17189709","0"
"3832","16053","2","1053","6588","39600797","32310290.2723","1194898","0"
"3833","16053","3","10666","64008","71319500","58189580.05","1881491","0"
"3834","16053","4","913","5472","32457972","26482459.3548","1417602","0"
"3835","16053","5","9399","56406","35162545","28689120.4655","1471155","0"
"3836","31050","4","1263","8298","28625676","21755728","3455715","0"
"3837","15054","1","15253","NA","NA","NA","NA","0"
"3838","15054","3","1950","NA","NA","NA","NA","0"
"3839","24028","3","7168","39772","38355813.89","47389080","NSS","0"
"3840","24028","4","436","4304","20170466.82","9196769","NSS","0"
"3841","24028","2","594","5155","20469425.98","63375487","NSS","0"
"3842","24028","1","84657","483892","108490615.15","123306946","NSS","0"
"3843","24009","3","5","22","33140.56","NSS","NSS","0"
"3844","24009","2","1","6","635.04","NSS","NSS","0"
"3845","24035","2","90","862","1151164.59","NSS","NSS","0"
"3846","24009","1","199","1147","538916.3","NSS","NSS","0"
"3847","5020","3","98","98","NSS","NSS","NSS","1"
"3848","23009","2","3","36","32981","NA","NA","1"
"3849","5032","2","10","10","3475129","3149002","85443","1"
"3853","8002","5","","","","","","1"
"3936","28027","4","40","40","6064671.81","2574852.05","215563","0"
"3977","26016","3","27","27","120113.64","146965.49","40037","1"
"3978","13006","1","745","745","896324.4","240624","134100","1"
"3979","30178","1","421","4746","952765","895065","113595","1"
"3980","30178","2","7","77","78812","72375","3767","1"
"3981","8027","4","14","168","3769852.98","665049.36","26736","1"
"3982","8027","5","28","336","1931.25","11216","9934","1"
"3983","17003","1","217","2604","150789","200508","203750","1"
"3984","17003","3","52","624","66950","94224","100055","1"
"3985","28028","1","10","10","1500","1350","100","1"
"3986","28042","3","6","4","4008","5096","1044","1"
"3987","11042","2","98","1176","1444406.91","1323448.07","54942","1"
"3988","30010","2","29","348","129798","228545","1199","1"
"3989","30010","3","423","5076","609130","784807","7546","1"
"3990","30010","4","46","684","2973526","344946","2337","1"
"3991","19031","1","135445","1596110","258452780","227733699","15590865","1"
"3992","19031","2","20","238","763032","990320","16644","1"
"3993","19031","3","1521","17414","28602134","39122133","555872","1"
"3994","19031","4","195","2310","6157983","9991485","233259","1"
"3995","19032","4","33","396","617838","789448","19415","1"
"3996","19009","1","37107","447700","84075755","49719856","4693069","1"
"3997","11007","2","117","1404","22212074","17664830","1074426","1"
"3998","11007","3","9659","115908","52866950","42034971","2448323","1"
"3999","12048","3","298","298","311112","311112","28416","1"
"4000","30143","1","784","60324","731591.04","340054.25","114396","1"
"4001","6010","1","34179","ND","ND","ND","NSS","1"
"4002","6010","2","298","ND","ND","ND","NSS","1"
"4003","6010","3","1486","ND","ND","ND","NSS","1"
"4004","6010","4","64","ND","ND","ND","NSS","1"
"4005","19020","2","","","","","","1"
"4006","19020","3","90","1089","1019043","1268957","37181","1"
"4007","19020","4","38","468","569333","766123","20849","1"
"4008","21174","1","1555","8608","2571182","2571182","349820","1"
"4009","21174","2","188","776","1258048","1258048","104662","1"
"4010","21174","3","342","2271","1724027","1724027","184387","1"
"4011","24052","1","2282","27384","1423968","1243510","136920","1"
"4012","24052","2","5","60","5880","6463","600","1"
"4013","24052","3","46","552","43056","37235","5520","1"
"4014","16069","1","27234","198408","42874585.2","39444618.39","3255245.28","1"
"4015","16069","2","21","252","220636.08","202985.2","1718046.12","1"
"4016","16069","3","1538","16256","5836296","5194303.44","2147557.65","1"
"4017","16069","4","131","1572","460596","414536.4","886150.11","1"
"4018","10012","1","7050","10579","21917122","9862705","288031","1"
"4019","10012","2","72","101","7409","5186646","59078","1"
"4020","10012","3","623","887","4868035","2482698","808031","1"
"4021","17004","1","9789","117468","7129619.8","6481472.58096","5510380.0539","1"
"4022","17004","3","62","744","43079.3","39162.9763","33295.348","1"
"4023","17004","4","8","96","7179.9","6527.16272","5549.2246","1"
"4024","32048","1","6828","6026","6976345","6626345","1425324","1"
"4025","32048","2","59","55","837492","777492","32528","1"
"4026","19001","2","2","15","5006","19990","198","1"
"4027","19001","3","11","127","48115","92631","2018","1"
"4028","19001","4","10","148","194425","180468","6938","1"
"4029","13063","4","71","71","26698.03","20327.9","956","1"
"4030","30134","1","1149","12863","1523500","1221431","340287","1"
"4031","30134","2","1","12","27720","27720","684","1"
"4032","30134","3","41","492","71750","68322","19188","1"
"4033","30167","2","","","","","","1"
"4034","30167","3","","","","","","1"
"4035","20401","1","110","110","239134.94","217628.39","2141","1"
"4036","16031","1","497","","763078","763078","80228","1"
"4037","17008","1","9","9","158149.5","180620.5","9840","1"
"4038","14096","3","8","8","9905.75","9905.75","547.01","1"
"4039","17008","2","15","15","3161665.6","3400560.4","97842","1"
"4040","17008","3","75","75","720849.78","850378","41736","1"
