"id_resd","folio","cve_geo","res_nom","res_caud","cuerprec"
"15460","7056","07056006AR","SIN NOMBRE","3","4"
"15461","15115","15115009AR","RANCHERIA DE DOLORES","NSS","1"
"15462","1001","01001061AR","LATIFUNDIO
","0.217","4"
"15463","1001","01001062AR","COYOTES
","0.737","1"
"15464","1001","01001063AR","COTORINA DE ABAJO
","0.315","4"
"15465","15121","15121013AR","CARCAMO SAN LORENZO","10.99","9"
"15466","14019","14019003AR","LA PLAYA","3","1"
"15467","1001","01001064AR","LA HACIENDA
","0.228","1"
"15468","13013","13013017AR","EL REFUGIO II","6","5"
"15469","32026","32026023AR","LAS MESAS (MESAS DEL PORTEZUELO)","NSS","1"
"15470","1001","01001033AR","SAN ANTONIO DE PEÑUELAS","3.6724","1"
"15471","20021","20021002AR","JOSE CORTES","ND","1"
"15472","13001","13001001AR","COLONIA 28 DE MAYO","1.469907","1"
"15473","15104","15104031AR","PLANTA DE REBOMBEO DE AGUAS RESIDUALES PRENSA NACIONAL","12.09","1"
"15474","25001","25001060AR","EMIGDIO RUIZ","1.8","5"
"15475","27004","27004104AR","CARCAMO FRACC. CASA PARA TODOS","ND","4"
"15476","27004","27004113AR","CARCAMO PLUVIAL FRACC. ESTRELLAS DE BUENAVISTA","ND","4"
"15477","27004","27004098AR","CARCAMO COL. CONSTITUCION KM. 10","ND","4"
"15478","14123","14123009AR","EL PLATANAR","3","1"
"15481","14093","14093003AR","PEGUEROS","12.5","1"
"15482","32051","32051005AR","AGUAS NEGRAS ESTANCIA LA COLORADA","3000","9"
"15483","21148","21148001AR","NEXAPA","3.5","9"
"15484","27015","27015011AR","ESTACION DE BOMBEO (CARCAMO) EJIDO POMOCA","6","1"
"15486","27008","27008013AR","ESTACION DE BOMBEO (CARCAMO # 4)","100","1"
"15487","10027","10027004AR","CARCAMO LOS ESQUIVELES","6","4"
"15489","14077","14077008AR","SAN JACINTO","ND","1"
"15490","14055","14055004AR","SAN ANDRES","3","5"
"15492","1001","01001096AR","NORIAS DE OJOCALIENTE","3.368","1"
"15493","1001","01001008AR","EJIDO CIENEGUILLA","2.232","1"
"15494","1001","01001051AR","CALVILLITO","7.804","1"
"15495","1001","01001018AR","GRANJAS CARIÑAN","0.272","1"
"15496","30132","30128003AR","EL LLANILLO","5.5","4"
"15497","24037","24037027AR","SAN MIGUEL PANTEON","1.549","1"
"15498","27007","27007001AR","ESTACION DE BOMBEO (CARCAMO) MIGUEL HIDALGO","75","1"
"15499","32033","32033004AR","PALMAREJO","3.7","1"
"15500","30029","30029004AR","RIO COAPA","300","1"
