"folio","ar_num","sin_punt"
"1001","91",""
"1002","","1"
"1003","7",""
"1004","10",""
"1005","34",""
"1006","2",""
"1007","","1"
"1008","8",""
"1009","9",""
"1010","10",""
"1011","9",""
"2001","","1"
"2002","2",""
"2003","","1"
"2004","2",""
"2005","","1"
"2006","","1"
"3001","","1"
"3002","","1"
"3003","2",""
"3008","","1"
"3009","","1"
"4001","",""
"4002","1",""
"4003","","1"
"4004","",""
"4005","",""
"4006","",""
"4007","",""
"4008","",""
"4009","",""
"4010","",""
"4011","",""
"4012","",""
"5001","",""
"5002","","1"
"5003","1",""
"5004","1",""
"5005","1",""
"5006","1",""
"5007","1",""
"5008","",""
"5009","3",""
"5010","1",""
"5011","","1"
"5012","",""
"5013","",""
"5014","",""
"5015","",""
"5016","",""
"5017","1",""
"5018","1",""
"5019","1",""
"5020","4",""
"5021","1",""
"5022","1",""
"5023","1",""
"5024","3",""
"5025","","1"
"5026","","1"
"5027","1",""
"5028","1",""
"5029","","1"
"5030","","1"
"5031","1",""
"5032","4",""
"5033","5",""
"5034","",""
"5035","","1"
"5036","1",""
"5037","1",""
"5038","1",""
"6001","1",""
"6002","","1"
"6003","","1"
"6004","","1"
"6005","1",""
"6006","","1"
"6007","","1"
"6008","","1"
"6009","","1"
"6010","","1"
"7001","1",""
"7002","17",""
"7003","2",""
"7004","3",""
"7005","4",""
"7006","1",""
"7007","2",""
"7008","4",""
"7009","4",""
"7010","1",""
"7011","1",""
"7012","2",""
"7013","1",""
"7014","1",""
"7015","5",""
"7016","1",""
"7017","2",""
"7018","1",""
"7019","1",""
"7020","1",""
"7021","1",""
"7022","1",""
"7023","1",""
"7024","1",""
"7025","3",""
"7026","1",""
"7027","4",""
"7028","3",""
"7029","2",""
"7030","1",""
"7031","6",""
"7032","2",""
"7033","1",""
"7034","3",""
"7035","2",""
"7036","1",""
"7037","2",""
"7038","1",""
"7039","1",""
"7040","3",""
"7041","1",""
"7042","1",""
"7043","1",""
"7044","3",""
"7045","8",""
"7046","1",""
"7047","3",""
"7048","2",""
"7049","1",""
"7050","1",""
"7051","8",""
"7052","1",""
"7053","1",""
"7054","1",""
"7055","1",""
"7056","1",""
"7057","7",""
"7058","4",""
"7059","7",""
"7060","3",""
"7061","3",""
"7062","1",""
"7063","1",""
"7064","1",""
"7065","","1"
"7066","3",""
"7067","1",""
"7068","3",""
"7069","1",""
"7070","",""
"7071","2",""
"7072","1",""
"7073","2",""
"7074","","1"
"7075","2",""
"7076","1",""
"7077","1",""
"7078","1",""
"7079","1",""
"7080","4",""
"7081","8",""
"7082","1",""
"7083","2",""
"7084","2",""
"7085","2",""
"7086","2",""
"7087","3",""
"7088","2",""
"7089","20",""
"7090","3",""
"7091","1",""
"7092","2",""
"7093","1",""
"7094","3",""
"7096","2",""
"7097","","1"
"7098","5",""
"7099","1",""
"7100","1",""
"7101","6",""
"7102","1",""
"7103","4",""
"7104","1",""
"7105","2",""
"7106","7",""
"7107","1",""
"7108","4",""
"7109","1",""
"7110","4",""
"7111","1",""
"7112","2",""
"7113","1",""
"7114","",""
"7115","1",""
"7116","",""
"7117","1",""
"7118","1",""
"7119","1",""
"7120","3",""
"7121","3",""
"7122","3",""
"7123","4",""
"7124","1",""
"7125","",""
"8001","","1"
"8002","","1"
"8003","","1"
"8004","","1"
"8005","","1"
"8006","","1"
"8007","","1"
"8008","","1"
"8009","","1"
"8010","","1"
