"folio","agu_bloq","ag_super","vo_super","vendsupr","ve_sup_e","ag_subte","vo_subte","vendsubt","ve_sub_e"
"1001","2","0","NA","0","","0","NA","0",""
"1002","2","0","NA","0","","0","NA","0",""
"1003","2","0","NA","0","","0","NA","0",""
"1004","2","0","NA","0","","0","NA","0",""
"1005","2","0","NA","0","","0","NA","0",""
"1006","2","0","NA","0","","0","NA","0",""
"1007","2","0","NA","0","","0","NA","0",""
"1008","2","0","NA","0","","0","NA","0",""
"1009","2","0","NA","0","","0","NA","0",""
"1010","2","0","NA","0","","0","NA","0",""
"1011","2","0","NA","0","","0","NA","0",""
"2001","1","1","5617513","6","","1","2882597","3",""
"2002","1","1","104023725","7","S. DE R. L. Y MODULOS DE RIEGO DEL DISTRITO 014 RIO COLORADO","1","9264811","1",""
"2003","1","1","8372121","3","","1","8372121","3",""
"2004","1","1","59589445","7","POR MEDIO DE UN CONVENIO ATRAVES DE LA COMISION INTERNACIONAL DE LIMITES Y AGUA SECCION MEXICO (CILA) AL ORGANISMO OPERADOR DE SECCION OTAY EN EL CONDADO DE OTAY","2","NA","0",""
"2005","1","1","7425149","7","POR MEDIO DE UN CONVENIO ATRAVES DE LA COMISION INTERNACIONAL DE LIMITES Y AGUA SECCIÓN MEXICO (CILA) AL ORGANISMO OPERADOR DE SECCIÓN OTAY EN EL CONDADO DE OTAY","2","NA","0",""
"2006","2","0","NA","0","","0","NA","0",""
"3001","2","0","NA","0","","0","NA","0",""
"3002","2","0","NA","0","","0","NA","0",""
"3003","2","0","NA","0","","0","NA","0",""
"3008","2","0","NA","0","","0","NA","0",""
"3009","2","0","NA","0","","0","NA","0",""
"4001","2","0","NA","0","","0","NA","0",""
"4002","2","0","NA","0","","0","NA","0",""
"4003","2","0","NA","0","","0","NA","0",""
"4004","2","0","NA","0","","0","NA","0",""
"4005","2","0","NA","0","","0","NA","0",""
"4006","2","0","NA","0","","0","NA","0",""
"4007","2","0","NA","0","","0","NA","0",""
"4008","2","0","NA","0","","0","NA","0",""
"4009","2","0","NA","0","","0","NA","0",""
"4010","2","0","NA","0","","0","NA","0",""
"4011","2","0","NA","0","","0","NA","0",""
"4012","0","0","","0","","0","","0",""
"5001","2","0","NA","0","","0","NA","0",""
"5002","2","0","NA","0","","0","NA","0",""
"5003","2","0","NA","0","","0","NA","0",""
"5004","2","0","NA","0","","0","NA","0",""
"5005","2","0","NA","0","","0","NA","0",""
"5006","2","0","NA","0","","0","NA","0",""
"5007","2","0","NA","0","","0","NA","0",""
"5008","2","0","NA","0","","0","NA","0",""
"5009","2","0","NA","0","","0","NA","0",""
"5010","2","0","NA","0","","0","NA","0",""
"5011","2","0","NA","0","","0","NA","0",""
"5012","2","0","NA","0","","0","NA","0",""
"5013","2","0","NA","0","","0","NA","0",""
"5014","2","0","NA","0","","0","NA","0",""
"5015","2","0","NA","0","","0","NA","0",""
"5016","2","0","NA","0","","0","NA","0",""
"5017","2","0","NA","0","","0","NA","0",""
"5018","2","0","NA","0","","0","NA","0",""
"5019","2","0","NA","0","","0","NA","0",""
"5020","2","0","NA","0","","0","NA","0",""
"5021","2","0","NA","0","","0","NA","0",""
"5022","2","0","NA","0","","0","NA","0",""
"5023","2","0","NA","0","","2","NA","0",""
"5024","2","0","NA","0","","0","NA","0",""
"5025","2","0","NA","0","","0","NA","0",""
"5026","2","0","NA","0","","0","NA","0",""
"5027","2","0","NA","0","","0","NA","0",""
"5028","2","0","NA","0","","0","NA","0",""
"5029","2","0","NA","0","","0","NA","0",""
"5030","2","0","NA","0","","0","NA","0",""
"5031","2","0","NA","0","","0","NA","0",""
"5032","2","0","NA","0","","0","NA","0",""
"5033","2","0","NA","0","","0","NA","0",""
"5034","2","0","NA","0","","0","NA","0",""
"5035","2","0","NA","0","","0","NA","0",""
"5036","2","0","NA","0","","0","NA","0",""
"5037","2","0","NA","0","","0","NA","0",""
"5038","2","0","NA","0","","0","NA","0",""
"6001","2","0","NA","0","","0","NA","0",""
"6002","2","0","NA","0","","0","NA","0",""
"6003","2","0","NA","0","","0","NA","0",""
"6004","2","0","NA","0","","0","NA","0",""
"6005","2","0","NA","0","","0","NA","0",""
"6006","2","0","NA","0","","0","NA","0",""
"6007","2","0","NA","0","","0","NA","0",""
"6008","2","0","NA","0","","0","NA","0",""
"6009","2","0","NA","0","","0","NA","0",""
"6010","2","0","NA","0","","0","NA","0",""
"7001","2","0","NA","0","","0","NA","0",""
"7002","2","0","NA","0","","0","NA","0",""
"7003","2","0","NA","0","","0","NA","0",""
"7004","2","0","NA","0","","0","NA","0",""
"7005","2","0","NA","0","","0","NA","0",""
"7006","2","0","NA","0","","0","NA","0",""
"7007","2","0","NA","0","","0","NA","0",""
"7008","2","0","NA","0","","0","NA","0",""
"7009","2","0","NA","0","","0","NA","0",""
"7010","2","0","NA","0","","0","NA","0",""
"7011","2","0","NA","0","","0","NA","0",""
"7012","1","1","1556853","2","","2","NA","0",""
"7013","2","0","NA","0","","0","NA","0",""
"7014","2","0","NA","0","","0","NA","0",""
"7015","2","0","NA","0","","0","NA","0",""
"7016","2","0","NA","0","","0","NA","0",""
"7017","2","0","NA","0","","0","NA","0",""
"7018","2","0","NA","0","","0","NA","0",""
"7019","2","0","NA","0","","0","NA","0",""
"7020","2","0","NA","0","","0","NA","0",""
"7021","2","0","NA","0","","0","NA","0",""
"7022","2","0","NA","0","","0","NA","0",""
"7023","2","0","NA","0","","0","NA","0",""
"7024","2","0","NA","0","","0","NA","0",""
"7025","2","0","NA","0","","0","NA","0",""
"7026","2","0","NA","0","","0","NA","0",""
"7027","1","1","1052898","2","","2","NA","0",""
"7028","2","0","NA","0","","0","NA","0",""
"7029","2","0","NA","0","","0","NA","0",""
"7030","2","0","NA","0","","0","NA","0",""
"7031","2","0","NA","0","","0","NA","0",""
"7032","2","0","NA","0","","0","NA","0",""
"7033","2","0","NA","0","","0","NA","0",""
"7034","2","0","NA","0","","0","NA","0",""
"7035","2","0","NA","0","","0","NA","0",""
"7036","2","0","NA","0","","0","NA","0",""
"7037","2","0","NA","0","","0","NA","0",""
"7038","2","0","NA","0","","0","NA","0",""
"7039","2","0","NA","0","","0","NA","0",""
"7040","2","0","NA","0","","0","NA","0",""
"7041","2","0","NA","0","","0","NA","0",""
"7042","2","0","NA","0","","0","NA","0",""
"7043","2","0","NA","0","","0","NA","0",""
"7044","2","0","NA","0","","0","NA","0",""
