"folio","num_capt"
"1001","226"
"1002","54"
"1003","43"
"1004","13"
"1005","42"
"1006","19"
"1007","25"
"1008","11"
"1009","18"
"1010","23"
"1011","27"
"2001","34"
"2002","41"
"2003","18"
"2004","5"
"2005","1"
"2006","27"
"3001","49"
"3002","19"
"3003","63"
"3008","28"
"3009","7"
"4001","48"
"4002","44"
"4003","57"
"4004","78"
"4005","35"
"4006","50"
"4007","13"
"4008","15"
"4009","58"
"4010","22"
"4011","109"
"4012","NA"
"5001","2"
"5002","2"
"5003","5"
"5004","4"
"5005","2"
"5006","8"
"5007","2"
"5008","4"
"5009","6"
"5010",""
"5011","4"
"5012","8"
"5013","1"
"5014","3"
"5015","6"
"5016","1"
"5017","4"
"5018","29"
"5019","4"
"5020","3"
"5021","6"
"5022","25"
"5023","1"
"5024","4"
"5025","2"
"5026","2"
"5027","23"
"5028","4"
"5029","3"
"5030","90"
"5031","4"
"5032","7"
"5033","7"
"5034","3"
"5035","98"
"5036","3"
"5037","1"
"5038","18"
"6001","16"
"6002","75"
"6003","33"
"6004","19"
"6005","33"
"6006","20"
"6007","62"
"6008","18"
"6009","42"
"6010","37"
"7001","2"
"7002","8"
"7003","1"
"7004","2"
"7005","2"
"7006","1"
"7007","2"
"7008","1"
"7009","6"
"7010","1"
"7011","2"
"7012","4"
"7013","1"
"7014","2"
"7015","3"
"7016","8"
"7017","9"
"7018","7"
"7019","9"
"7020","5"
"7021","1"
"7022","3"
"7023","3"
"7024","1"
"7025","3"
"7026","1"
"7027","9"
"7028","7"
"7029","3"
"7030","2"
"7031","2"
"7032","3"
"7033","2"
"7034","2"
"7035","9"
"7036","1"
"7037","2"
"7038","1"
"7039","1"
"7040","2"
"7041","1"
"7042","3"
"7043","2"
"7044","2"
"7045","16"
"7046","6"
"7047","5"
"7048","9"
"7049","1"
"7050","2"
"7051","2"
"7052","4"
"7053","2"
"7054","2"
"7055","3"
"7056","1"
"7057","9"
"7058","1"
"7059","4"
"7060","3"
"7061","4"
"7062","4"
"7063","1"
"7064","1"
"7065","2"
"7066","2"
"7067","3"
"7068","6"
"7069","1"
"7070","2"
"7071","2"
"7072","4"
"7073","5"
"7074","5"
"7075","2"
"7076","23"
"7077","1"
"7078","10"
"7079","1"
"7080","7"
"7081","2"
"7082","1"
"7083","10"
"7084","3"
"7085","2"
"7086","4"
"7087","5"
"7088","5"
"7089","28"
"7090","5"
"7091","2"
"7092","2"
"7093","1"
"7094","9"
"7096","4"
"7097","11"
"7098","3"
"7099","3"
"7100","1"
"7101","5"
"7102","1"
"7103","6"
"7104","1"
"7105","3"
"7106","2"
"7107","4"
"7108","4"
"7109","4"
"7110","2"
"7111","1"
"7112","1"
"7113","3"
"7114","3"
"7115","1"
"7116","2"
"7117","1"
"7118","1"
"7119","1"
"7120","1"
"7121","1"
"7122","2"
"7123","2"
"7124","2"
"7125","NA"
"8001","2"
