"id_fuente","folio","cve_geo","fnt_nom","fuentcap","fnt_ppro","fnt_oesp","fntmacro","capa_ins","gast_pro","fnt_kwh","fnt_peso","no_utili","dndextrc","fnt_espe","clor_cap","clor_gas","clor_sod","clor_dio","clor_ozo","clor_ult","clor_otr","ti_clo_e"
"1","5018","05018031FC","TORRES 1-B","1","500","","1","ND","61.45","918009","1864775","","3","","1","1","","","","","",""
"2","8031","08031001FC","POZO #4","1","70","","1","5","0.92","1557","4204","","3","","1","1","","","","","",""
"3","14039","14120061FC","SANTA LAURA","1","130","","1","ND","ND","8812","23340","","4","","1","1","","","","","",""
"4","31073","31073001FC","POZO 1","1","30","","1","ND","ND","NA","654","","4","","2","","","","","","",""
"5","15096","15096008FC","SAN MIGUEL","1","NSS","","2","ND","ND","NA","NA","1","3","","1","","1","","","","",""
"6","16003","16003004FC","POZO #4","1","200","","3","42","ND","35432","53240","","3","","1","","1","","","","",""
"7","15099","15009016FC","LA CAZUELA","1","250","","3","50","45","113","121713","","4","","1","","1","","","","",""
"8","15031","15031029FC","LA LADERA","1","200","","1","60","ND","1200","62868","","3","","1","","1","","","","",""
"9","30077","30077001FC","POZO NO. 4","1","80","","2","ND","40","15313","41497","","4","","1","","1","","","","",""
"10","31026","31026003FC","POZO FRACCIONAMIENTO SAN DIEGUITO","1","30","","2","ND","ND","1410","5641","","4","","1","","1","","","","",""
"11","26043","26043034FC","POZO POTRERO","1","61","","1","ND","ND","1365","4294","","4","","1","","1","","","","",""
"12","31091","31091001FC","POZO 1 TINUM","1","45","","3","ND","ND","3917","5","","4","","1","","1","","","","",""
"13","10001","10001006FC","POZO NO. 6","1","90","","1","ND","ND","9821","22298","","4","","1","","1","","","","",""
"14","31039","31039002FC","POZO 2","1","18","","3","ND","ND","5000","20000","","4","","1","","1","","","","",""
"15","14001","14001002FC","POZO DE LA ESPAÑITA","1","260","","1","17","15","20771899","34993","","4","","1","","1","","","","",""
"16","31048","31048007FC","KOCHOL","1","15","","3","ND","ND","2000","9922","","4","","1","","1","","","","",""
"17","6003","06003036FC","GUILLERMO PRIETO","1","250","","1","ND","ND","462.75","1707.17","","3","","1","","1","","","","",""
"18","4006","04006021FC","POZO 4 HOPELCHEN","1","215","","3","ND","ND","20000","35000","","3","","1","","1","","","","",""
"19","18015","18015048FC","POZO VALLE LERMA","1","70","","3","ND","3","NSS","NSS","","3","","1","","1","","","","",""
"20","31013","31013002FC","U-B-R","1","28","","1","ND","ND","4566","13700","","4","","1","","1","","","","",""
"21","21019","21019004FC","LA ALFONSINA","1","100","","1","46.88","ND","323032","704651","","3","","1","","1","","","","",""
"22","31003","31003001FC","POZO AKIL 1","1","40","","1","ND","ND","NA","28000","","4","","1","","1","","","","",""
"23","26033","26033035FC","POZO  3 BUIDBORES","1","12","","3","ND","2","NSS","NSS","","4","","1","","1","","","","",""
"24","10001","10001003FC","POZO 3","1","82","","1","ND","ND","9312","18468","","4","","1","","1","","","","",""
"25","9010","09010018FC","OLIVAR DE LOS PADRES","1","ND","","3","ND","ND","ND","ND","","4","","0","","","","","","",""
"26","9010","09010020FC","LOMAS DE SAN ANGEL INN","1","ND","","3","ND","ND","ND","ND","","4","","0","","","","","","",""
"28","14120","14120064FC","TESISTAN","1","168","","3","ND","ND","NA","NA","","4","","1","","1","","","","",""
"29","31049","31049001FC","POZO 1","1","23","","1","ND","ND","69761","72061","","3","","1","","1","","","","",""
"30","14039","14101023FC","LA HORTALIZA","1","250","","1","ND","ND","28242","71125","1","4","","1","1","","","","","",""
"31","31051","31051004FC","POZO (BOMBA GRANDE)","1","20","","2","ND","ND","4752","10725","","4","","1","","1","","","","",""
"32","31045","31045002FC","POZO 2","1","27.7","","2","ND","ND","6000","19825","","4","","1","","1","","","","",""
"33","31020","31020001FC","POZO 1","1","30","","3","ND","ND","5779","23118","","4","","1","","1","","","","",""
"34","27008","27008015FC","CABECERA MUNICIPAL HUIMANGUILLO POZO NUMERO 1 BIS","1","60","","3","ND","ND","NA","927","","4","","1","","1","","","","",""
"35","31080","31080001FC","POZO 1","1","25","","2","ND","ND","NA","60000","","4","","1","","1","","","","",""
"36","5034","05034006FC","POZO DON NATO 2","1","440","","2","ND","ND","NA","299679","","3","","1","","1","","","","",""
"37","5038","05038013FC","PRINCIPAL","1","31.8","","3","ND","5","NA","81003","","4","","1","","1","","","","",""
"38","5038","05038014FC","ALAMEDA","1","28","","2","ND","5","NA","27430","","4","","1","","1","","","","",""
"39","20068","20068002FC","POZO TOCUELA","1","150","","3","12","9","NA","5993.75","","3","","1","","1","","","","",""
"40","32005","32005010FC","POZO RIO FRIO","1","NSS","","3","NSS","NSS","NSS","NSS","","4","","2","","","","","","",""
