"id_dren","folio","regjurid","dr_ini_a","dr_ter_a","ini_re_a","ter_re_a","ot_publi","ot_priva","ot_socia","ambito"
"255","15015","1","NA","NA","NA","NA","","","","1"
"284","14015","1","NA","NA","NA","NA","","","","1"
"288","29001","1","NA","NA","NA","NA","","","","2"
"289","29001","11","NA","NA","NA","NA","","","","4"
"293","5007","4","NA","NA","NA","NA","","","","2"
"294","26001","1","NA","NA","NA","NA","","","","1"
"308","29002","1","NA","NA","NA","NA","","","","3"
"309","29002","11","NA","NA","NA","NA","","","","4"
"311","5019","1","NA","NA","NA","NA","","","","1"
"318","25001","4","NA","NA","NA","NA","","","","1"
"321","29019","1","NA","NA","NA","NA","","","","2"
"322","29019","11","NA","NA","NA","NA","","","","4"
"324","25007","1","NA","NA","NA","NA","","","","2"
"325","3002","4","NA","NA","NA","NA","","","","3"
"326","29003","1","NA","NA","NA","NA","","","","2"
"342","3008","4","NA","NA","NA","NA","","","","3"
"344","3009","4","NA","NA","NA","NA","","","","3"
"345","25015","1","NA","NA","NA","NA","","","","1"
"346","3003","4","NA","NA","NA","NA","","","","3"
"349","25016","4","NA","NA","NA","NA","","","","3"
"362","3001","4","NA","NA","NA","NA","","","","3"
"401","5028","4","NA","NA","NA","NA","","","","3"
"402","30097","4","NA","NA","NA","NA","","","","1"
"427","30114","1","NA","NA","NA","NA","","","","3"
"461","7005","1","NA","NA","NA","NA","","","","3"
"464","25017","4","NA","NA","NA","NA","","","","3"
"465","25012","4","NA","NA","NA","NA","","","","3"
"505","29007","1","NA","NA","NA","NA","","","","3"
"506","29007","11","NA","NA","NA","NA","","","","4"
"508","29008","1","NA","NA","NA","NA","","","","1"
"510","29010","1","NA","NA","NA","NA","","","","2"
"511","29013","4","NA","NA","NA","NA","","","","1"
"512","29016","1","NA","NA","NA","NA","","","","1"
"514","29017","1","NA","NA","NA","NA","","","","1"
"623","30001","1","NA","NA","NA","NA","","","","3"
"624","30008","1","NA","NA","NA","NA","","","","3"
"625","30018","1","NA","NA","NA","NA","","","","2"
"626","30019","1","NA","NA","NA","NA","","","","2"
"627","30020","1","NA","NA","NA","NA","","","","2"
"628","30025","1","NA","NA","NA","NA","","","","3"
"630","30038","4","NA","NA","NA","NA","PARAMUNICIPAL","","","3"
"631","30042","1","NA","NA","NA","NA","","","","2"
"632","30050","1","NA","NA","NA","NA","","","","2"
"636","29011","1","NA","NA","NA","NA","","","","1"
"640","30065","4","NA","NA","NA","NA","","","","3"
"641","30067","1","NA","NA","NA","NA","","","","3"
"642","30072","1","NA","NA","NA","NA","","","","2"
"646","30083","1","NA","NA","NA","NA","","","","3"
"651","29018","1","NA","NA","NA","NA","","","","1"
"655","30088","1","NA","NA","NA","NA","","","","3"
"661","29012","1","NA","NA","NA","NA","","","","1"
"663","29022","1","NA","NA","NA","NA","","","","1"
"664","29014","1","NA","NA","NA","NA","","","","2"
"665","15020","4","NA","NA","NA","NA","","","","1"
"668","11015","4","NA","NA","NA","NA","","","","3"
"670","11018","4","NA","NA","NA","NA","","","","3"
"673","15024","1","NA","NA","NA","NA","","","","1"
"676","11019","4","NA","NA","NA","NA","","","","2"
"678","29020","1","NA","NA","NA","NA","","","","1"
"679","11021","4","NA","NA","NA","NA","","","","2"
"680","30103","1","NA","NA","NA","NA","","","","2"
"683","7007","1","NA","NA","NA","NA","","","","2"
"686","29025","1","NA","NA","NA","NA","","","","1"
"687","11036","4","NA","NA","NA","NA","","","","1"
"688","29021","1","NA","NA","NA","NA","","","","2"
"689","29021","11","NA","NA","NA","NA","","","","4"
"690","11038","1","NA","NA","NA","NA","","","","2"
"691","30137","1","NA","NA","NA","NA","","","","2"
"692","11039","1","NA","NA","NA","NA","","","","3"
"693","7010","1","NA","NA","NA","NA","","","","2"
"695","30146","1","NA","NA","NA","NA","","","","2"
"696","7011","1","NA","NA","NA","NA","","","","2"
"698","7012","4","NA","NA","NA","NA","","","","3"
"701","11026","4","NA","NA","NA","NA","","","","2"
"721","7013","1","NA","NA","NA","NA","","","","2"
"724","11041","4","NA","NA","NA","NA","","","","3"
"725","5005","4","NA","NA","NA","NA","","","","2"
"727","5006","4","NA","NA","NA","NA","","","","2"
"728","7014","1","NA","NA","NA","NA","","","","2"
"731","30150","1","NA","NA","NA","NA","","","","2"
"732","15037","4","NA","NA","NA","NA","","","","1"
"735","30182","1","NA","NA","NA","NA","","","","1"
"738","5017","4","NA","NA","NA","NA","","","","2"
"739","30197","1","NA","NA","NA","NA","","","","2"
"740","5018","5","NA","NA","NA","NA","","","","3"
"741","30210","1","NA","NA","NA","NA","","","","2"
"743","15044","4","NA","NA","NA","NA","","","","1"
"744","5020","1","NA","NA","NA","NA","","","","2"
"745","30113","1","NA","NA","NA","NA","","","","3"
"746","15053","1","NA","NA","NA","NA","","","","1"
"748","5024","4","NA","NA","NA","NA","","","","2"
"751","29026","1","NA","NA","NA","NA","","","","1"
"752","5031","4","NA","NA","NA","NA","","","","2"
"753","30187","1","NA","NA","NA","NA","","","","3"
"755","5033","4","NA","NA","NA","NA","","","","3"
"759","5009","4","NA","NA","NA","NA","","","","3"
"765","29027","1","NA","NA","NA","NA","","","","1"
"767","15057","4","NA","NA","NA","NA","","","","1"
"768","29023","1","NA","NA","NA","NA","","","","1"
"771","29028","1","NA","NA","NA","NA","","","","2"
"774","15091","4","NA","NA","NA","NA","","","","3"
"777","29032","1","NA","NA","NA","NA","","","","2"
"778","29032","11","NA","NA","NA","NA","","","","4"
"802","15059","4","NA","NA","NA","NA","","","","3"
"815","29024","1","NA","NA","NA","NA","","","","2"
"817","11045","1","NA","NA","NA","NA","","","","2"
"841","11042","4","NA","NA","NA","NA","","","","2"
"843","7031","1","NA","NA","NA","NA","","","","3"
"867","7039","1","NA","NA","NA","NA","","","","2"
"872","29036","1","NA","NA","NA","NA","","","","1"
"873","7042","1","NA","NA","NA","NA","","","","2"
"878","11029","4","NA","NA","NA","NA","","","","3"
"884","7055","1","NA","NA","NA","NA","","","","3"
"889","7058","13","NA","NA","NA","NA","","","","2"
"890","29029","1","NA","NA","NA","NA","","","","1"
"891","8001","6","NA","NA","NA","NA","","","","2"
"892","8002","6","NA","NA","NA","NA","","","","3"
"893","8003","6","NA","NA","NA","NA","","","","2"
"895","8004","6","NA","NA","NA","NA","","","","1"
"897","8006","1","NA","NA","NA","NA","","","","2"
"899","8008","1","NA","NA","NA","NA","","","","2"
"900","8010","6","NA","NA","NA","NA","","","","2"
"902","15016","1","NA","NA","NA","NA","","","","1"
"903","8012","1","NA","NA","NA","NA","","","","2"
"921","26002","4","NA","NA","NA","NA","","","","2"
"922","8014","1","NA","NA","NA","NA","","","","1"
"923","29030","1","NA","NA","NA","NA","","","","1"
"925","8015","1","NA","NA","NA","NA","","","","3"
"927","29041","1","NA","NA","NA","NA","","","","1"
"928","8016","6","NA","NA","NA","NA","","","","4"
"929","25013","1","NA","NA","NA","NA","","","","3"
"930","15028","1","NA","NA","NA","NA","","","","1"
"931","15104","4","NA","NA","NA","NA","","","","1"
"933","15029","4","NA","NA","NA","NA","","","","1"
"934","15017","1","NA","NA","NA","NA","","","","1"
"937","29042","1","NA","NA","NA","NA","","","","1"
"940","15108","1","NA","NA","NA","NA","","","","1"
"941","15030","1","NA","NA","NA","NA","","","","1"
"942","15109","4","NA","NA","NA","NA","","","","1"
"961","25014","3","NA","NA","NA","NA","","","","2"
"962","26004","1","NA","NA","NA","NA","","","","2"
"963","26005","4","NA","NA","NA","NA","","","","3"
"964","8020","1","NA","NA","NA","NA","","","","2"
"966","29043","1","NA","NA","NA","NA","","","","3"
"967","8025","1","NA","NA","NA","NA","","","","3"
"969","8026","6","NA","NA","NA","NA","","","","2"
"972","26006","1","NA","NA","NA","NA","","","","1"
"973","8031","6","NA","NA","NA","NA","","","","2"
"974","8033","1","NA","NA","NA","NA","","","","2"
"975","15065","1","NA","NA","NA","NA","","","","1"
"977","8034","6","NA","NA","NA","NA","","","","2"
"978","18003","4","NA","NA","NA","NA","","","","2"
"979","18003","13","NA","NA","NA","NA","","","","4"
"980","8035","6","NA","NA","NA","NA","","","","3"
"983","8024","6","NA","NA","NA","NA","","","","3"
"1001","8039","6","NA","NA","NA","NA","","","","2"
"1002","15069","1","NA","NA","NA","NA","","","","1"
"1004","8041","1","NA","NA","NA","NA","","","","2"
"1005","8044","6","NA","NA","NA","NA","","","","2"
"1006","26008","1","NA","NA","NA","NA","","","","2"
"1007","8045","6","NA","NA","NA","NA","","","","2"
"1008","8046","1","NA","NA","NA","NA","","","","2"
"1009","8047","1","NA","NA","NA","NA","","","","3"
"1010","26010","1","NA","NA","NA","NA","","","","2"
"1016","15121","4","NA","NA","NA","NA","","","","1"
"1019","8048","1","NA","NA","NA","NA","","","","2"
"1020","15125","1","NA","NA","NA","NA","","","","1"
"1021","8049","1","NA","NA","NA","NA","","","","2"
"1022","29031","4","NA","NA","NA","NA","","","","1"
"1024","8053","6","NA","NA","NA","NA","","","","2"
"1025","26011","1","NA","NA","NA","NA","","","","3"
"1026","15070","1","NA","NA","NA","NA","","","","1"
"1027","29035","1","NA","NA","NA","NA","","","","1"
"1028","8054","1","NA","NA","NA","NA","","","","3"
"1029","15099","1","NA","NA","NA","NA","","","","1"
"1030","15093","1","NA","NA","NA","NA","","","","1"
"1031","7061","4","NA","NA","NA","NA","","","","2"
"1034","30013","1","NA","NA","NA","NA","","","","3"
"1036","30014","1","NA","NA","NA","NA","","","","3"
"1037","7065","4","NA","NA","NA","NA","","","","2"
"1039","29037","1","NA","NA","NA","NA","","","","1"
"1040","8060","6","NA","NA","NA","NA","","","","1"
"1042","29049","4","NA","NA","NA","NA","","","","1"
"1043","8055","6","NA","NA","NA","NA","","","","2"
"1044","15061","1","NA","NA","NA","NA","","","","1"
"1045","26012","4","NA","NA","NA","NA","","","","1"
"1046","7062","1","NA","NA","NA","NA","","","","1"
"1047","8058","1","NA","NA","NA","NA","","","","1"
"1049","8059","6","NA","NA","NA","NA","","","","2"
"1051","30024","1","NA","NA","NA","NA","","","","3"
"1062","30053","1","NA","NA","NA","NA","","","","2"
"1063","29053","1","NA","NA","NA","NA","","","","1"
"1064","8061","1","NA","NA","NA","NA","","","","3"
"1065","15058","4","NA","NA","NA","NA","","","","1"
"1067","30061","1","NA","NA","NA","NA","","","","2"
"1068","30080","1","NA","NA","NA","NA","","","","2"
"1069","29054","1","NA","NA","NA","NA","","","","1"
"1071","29038","1","NA","NA","NA","NA","","","","1"
"1074","29055","1","NA","NA","NA","NA","","","","1"
"1080","30102","6","NA","NA","NA","NA","","","","1"
"1082","25009","4","NA","NA","NA","NA","","","","3"
