"id_dren","admn_id","localid"
"6","778","255813"
"27","8224","151043"
"49","6929","158961"
"63","8772","161909"
"66","8777","161922"
"71","1741","267604"
"72","1744","281888"
"73","8769","161900"
"75","6728","301416"
"84","8701","162244"
"86","9321","159036"
"87","9323","159068"
"91","7496","255812"
"97","5939","118475"
"98","9121","158695"
"99","9122","158700"
"100","1221","222059"
"105","9223","158850"
"107","6550","182286"
"108","5382","119338"
"111","7461","255379"
"112","7494","255811"
"113","7258","40766"
"114","5469","116841"
"120","689","255430"
"122","7459","255426"
"123","9301","159691"
"124","7460","255432"
"125","7481","255427"
"127","5830","301371"
"128","6794","160883"
"129","7570","159701"
"144","8768","161895"
"145","8770","161902"
"147","6844","116836"
"148","8761","161873"
"149","8762","161875"
"150","8763","161879"
"154","8765","161883"
"155","8776","161919"
"156","8778","161960"
"157","8774","161916"
"158","6842","116828"
"159","5946","302087"
"163","8771","161908"
"164","8773","161914"
"165","6927","158932"
"166","6930","158957"
"167","8775","161918"
"168","7822","254820"
"169","7823","254828"
"170","7824","254816"
"171","7825","254823"
"172","7826","254814"
"173","7827","254817"
"176","6843","116819"
"177","8764","161880"
"178","5987","301423"
"182","8362","161211"
"185","7568","159893"
"187","8354","161280"
"188","8356","161872"
"192","9205","161286"
"193","9206","161295"
"200","7791","254824"
"203","8140","158660"
"207","8572","188408"
"208","8573","188404"
"211","7588","159098"
"215","9614","179236"
"219","8285","161749"
"220","8360","162237"
"221","362","10818"
"222","1009","77722"
"223","349","218914"
"229","4767","265145"
"232","6005","117444"
"236","7504","294233"
"238","7502","157372"
"239","753","281027"
"244","1209","52586"
"248","7488","55366"
"251","5205","272140"
"254","966","256176"
"268","2626","28338"
"273","7514","299092"
"280","1028","79291"
"281","1036","258132"
"283","1854","231917"
"287","7491","303100"
"289","427","268732"
"291","5741","115098"
"294","7508","54844"
"295","5743","115144"
"303","1212","52642"
"304","1213","213489"
"309","2632","59990"
"314","6596","265556"
"315","6731","301378"
"318","7629","296637"
"321","7632","110094"
"325","6589","278398"
"326","7487","300747"
"327","755","28520"
"328","1181","273046"
"331","9582","297559"
"333","1215","213174"
"338","5787","115189"
"344","5930","117677"
"345","3941","150802"
"346","5940","118520"
"347","1251","55326"
"348","6001","118546"
"351","745","268720"
"360","6764","301434"
"366","2744","258704"
"372","7434","151370"
"374","7270","41681"
"377","7321","134544"
"385","724","104466"
"387","7567","201324"
"390","5281","301302"
"394","6797","239603"
"402","7323","138303"
"404","7325","138423"
"415","7441","154103"
"416","670","98654"
"426","4741","259701"
"431","2184","53153"
"436","7368","120473"
"438","7390","157780"
"440","7444","106336"
"443","5468","116813"
"445","5474","119041"
"447","5482","95319"
"448","5641","227739"
"449","6588","278364"
"453","7386","60073"
"456","7388","59575"
"457","892","300896"
"460","878","101793"
"461","2789","234612"
"464","5207","273355"
"471","641","263729"
"472","668","97724"
"475","884","44040"
"477","7409","150059"
"485","7446","153489"
"493","5083","266957"
"500","7232","301300"
"507","7326","45900"
"509","7355","51525"
"511","1845","230078"
"515","7342","126982"
"518","925","65877"
"527","7389","132269"
"530","346","12407"
"532","623","256364"
"533","624","257300"
"543","5542","233817"
"545","7344","301305"
"550","1064","300955"
"556","1244","264442"
"557","5470","117092"
"562","6002","118596"
"563","6022","301397"
"564","6023","301400"
"568","6560","276736"
"569","505","254957"
"584","7348","124147"
"588","7351","50865"
"592","7353","51408"
"599","7079","295505"
"604","7144","146868"
"610","7206","123541"
"612","7596","159805"
"616","759","21795"
"631","6009","117402"
"632","6088","96936"
"638","698","34911"
"639","802","301411"
"642","963","221609"
"649","1184","280882"
"650","1186","49962"
"656","325","11808"
"658","344","14588"
"666","1082","215842"
"668","7639","114894"
"669","630","259939"
"681","4065","257373"
"684","6508","176855"
"685","3221","282948"
"687","6663","183629"
"693","1405","95449"
"697","6725","141920"
"698","6769","301470"
"703","1743","272285"
"717","3322","261345"
"718","5788","115286"
"719","3645","29291"
"732","5744","115169"
"733","5834","152951"
"734","6587","182833"
"740","7070","153107"
"743","1188","281085"
"744","1189","50048"
"748","1414","98128"
"749","6544","273374"
"751","6593","282599"
"754","7022","76224"
"761","843","39465"
"765","2368","50117"
"769","2373","281016"
"776","5864","140415"
"791","3806","149852"
"792","5105","144309"
"801","464","219218"
"802","465","217249"
"812","3445","96691"
"813","3448","216542"
"818","3963","42374"
"820","7450","148632"
"828","3303","59906"
"831","7072","295436"
"832","5802","119488"
"834","7455","55066"
"835","2327","266392"
"837","4141","271535"
"838","8977","188281"
"840","8986","188700"
"846","1363","277605"
"847","1365","265614"
"853","5763","301355"
"859","1723","267153"
"863","3074","263820"
"866","5777","119759"
"870","2223","140379"
"880","5774","301227"
"884","5951","116113"
"887","5967","301430"
"890","6068","200859"
"903","7367","51769"
"915","2322","260219"
"917","3304","260805"
"924","5907","115647"
"927","5945","302087"
"928","401","26953"
"937","5948","116175"
"938","5955","116157"
"945","5944","115978"
"949","5915","301439"
"955","5962","302106"
"966","3748","236152"
"985","8965","301276"
"988","6847","150030"
"998","8964","136731"
"1000","6969","63721"
"1008","7574","297311"
"1013","7857","208103"
"1017","7697","113113"
"1037","8357","162148"
"1038","8358","162150"
"1039","8382","301258"
"1042","8424","193244"
"1045","5638","115035"
"1046","8781","301341"
"1053","8386","121329"
"1057","8403","192703"
"1060","8421","193053"
"1083","8854","194980"
"1090","8313","301234"
"1112","8879","152284"
"1118","9168","128301"
"1129","7946","294270"
"1131","7976","157401"
"1148","9510","266513"
"1165","8007","134896"
"1166","8006","301284"
"1170","7752","81415"
"1176","7850","125792"
"1181","9721","177949"
"1184","2385","282552"
"1192","8462","195400"
"1199","1421","282030"
"1211","9601","174928"
"1216","9611","177174"
"1226","8872","115503"
"1227","8348","161064"
"1231","8873","115504"
"1233","8928","301265"
"1235","1683","98956"
"1237","1684","143146"
"1238","7848","207277"
"1239","3141","142751"
"1241","7809","205841"
"1242","7665","109641"
"1246","7798","209601"
"1248","8087","279051"
"1251","8105","279179"
"1252","8241","126931"
"1256","8283","226532"
"1257","8384","132846"
"1258","8408","192765"
"1261","8290","161455"
"1263","7898","125888"
"1265","8291","161488"
"1281","8963","301325"
"1282","8983","205317"
"1285","9061","192134"
"1297","8311","283319"
"1298","8359","162196"
"1299","8471","193507"
"1302","8569","207329"
"1305","8852","121721"
"1312","8884","188570"
"1313","8888","190239"
"1315","8528","191686"
"1316","8692","279755"
"1317","9349","301322"
"1325","9649","181962"
"1338","9367","92062"
"1344","9691","197538"
"1345","9445","295851"
"1347","9728","191414"
"1348","9705","195672"
"1351","7679","111330"
"1353","8961","131088"
"1354","8900","188927"
"1372","9693","197867"
"1375","9802","299844"
"1376","9865","193717"
"1389","342","13856"
"1391","7711","114621"
"1395","8020","300500"
"1403","2161","257222"
"1405","8845","195030"
"1407","7682","110435"
"1408","7688","203058"
"1410","7708","113932"
"1413","9043","191074"
"1416","9067","299879"
"1441","7771","97128"
"1445","7649","107004"
"1446","7653","108216"
"1447","7654","108387"
"1451","8027","149888"
"1452","8070","301286"
"1465","6607","181680"
"1472","8444","193483"
"1474","8447","187778"
"1489","8305","130003"
"1494","8457","190633"
"1502","9688","196953"
"1505","9162","301277"
"1519","1261","55010"
"1521","7519","300359"
"1522","7672","109769"
"1525","9248","125717"
"1530","8068","133472"
"1532","8071","137139"
"1533","8074","199115"
"1537","10042","197947"
"1541","6462","237524"
"1551","7947","295790"
"1554","7881","258618"
"1559","7666","109717"
"1563","7959","299203"
"1569","7703","113505"
"1575","8202","128247"
"1576","8259","301338"
"1584","7616","106849"
"1585","7647","295764"
"1593","8002","130249"
"1601","7802","210939"
"1613","9263","116921"
"1618","7587","159018"
"1620","7886","259200"
"1621","8576","188460"
"1625","8321","109737"
"1628","8641","188489"
"1640","6742","301414"
"1655","8203","128550"
"1664","7706","113756"
"1667","8920","123756"
"1671","8945","135747"
"1674","9066","299417"
"1677","1281","140349"
"1684","2302","142519"
"1689","1689","226130"
"1691","7619","107326"
"1694","7743","120017"
"1695","7744","120022"
"1704","5627","117235"
"1705","7691","206033"
"1715","8743","301349"
"1747","8082","267829"
"1748","7964","68180"
"1750","9687","196798"
"1761","7951","260635"
"1771","7579","202522"
"1772","7858","258457"
"1780","8295","281050"
"1788","8516","206750"
"1789","8691","134461"
"1797","4884","222973"
"1800","8205","129906"
"1814","8419","193013"
"1827","8993","302551"
"1843","8819","203401"
"1844","9373","187317"
"1849","9401","188105"
"1853","9698","195884"
"1857","9477","188786"
"1865","9848","184033"
"1868","7678","110928"
"1875","7670","294601"
"1884","8347","163112"
"1894","7949","297133"
"1900","1685","259928"
"1905","7462","255381"
"1917","6586","179906"
"1926","8979","156876"
"1929","289","302722"
"1930","7495","255810"
"1942","967","68980"
"1946","5938","118466"
"1956","640","263431"
"1975","7452","202754"
"1979","5910","115676"
"1980","5912","143003"
"1981","5102","267496"
"1985","774","301443"
"1991","8464","191049"
"2004","8904","182500"
"2010","1481","280562"
"2012","7945","210192"
"2017","506","254958"
"2019","322","255380"
"2020","6043","301404"
"2021","646","265299"
"2022","3501","101861"
"2025","461","33787"
"2032","9608","174755"
"2039","7024","300945"
"2041","7792","204561"
"2043","8566","194258"
"2044","8315","276785"
"2046","5663","273210"
"2072","8767","161890"
"2076","7041","96504"
"2080","5849","140590"
"2084","7863","301437"
"2085","7565","244931"
"2110","8224","301530"
"2154","1741","267775"
"2155","1744","281992"
"2158","6728","301416"
"2180","5939","118471"
"2183","1221","222063"
"2196","7258","40777"
"2261","5987","142182"
"2304","362","10842"
"2305","1009","77763"
"2306","349","218985"
"2312","4767","265146"
"2315","6005","117441"
"2319","7504","294243"
"2321","7502","157373"
"2322","753","281029"
"2327","1209","52591"
"2331","7488","55405"
"2334","5205","272146"
"2337","966","256182"
"2351","2626","300754"
"2356","7514","299091"
"2363","1028","79289"
"2364","1036","258133"
"2366","1854","231943"
"2370","7491","294125"
"2372","427","268743"
"2374","5741","115100"
"2377","7508","54843"
"2378","5743","115142"
"2386","1212","52648"
"2387","1213","213503"
"2392","2632","59991"
"2397","6596","265557"
"2398","6731","140826"
"2401","7629","303122"
"2404","7632","110107"
"2408","6589","278402"
"2409","7487","300747"
"2410","755","28691"
"2411","1181","273053"
"2414","9582","297562"
"2416","1215","213175"
"2421","5787","115243"
"2427","5930","117695"
"2428","3941","150808"
"2430","1251","55348"
"2431","6001","118546"
"2434","745","268721"
"2443","6764","301434"
"2449","2744","258711"
"2455","7434","151377"
"2457","7270","41684"
"2460","7321","301318"
"2468","724","104470"
"2470","7567","201355"
"2473","5281","132027"
"2477","6797","239617"
"2485","7323","138285"
"2487","7325","138425"
"2498","7441","154108"
"2499","670","98629"
"2509","4741","259731"
"2514","2184","53165"
"2519","7368","301230"
"2521","7390","157784"
"2523","7444","106336"
"2526","5468","116827"
"2528","5474","119041"
"2530","5482","95296"
"2531","5641","227867"
"2532","6588","278371"
"2540","892","300896"
"2543","878","101617"
"2547","5207","273356"
"2554","641","263734"
"2555","668","97763"
"2558","884","44041"
"2560","7409","150071"
"2568","7446","153492"
"2576","5083","266956"
"2590","7326","45906"
"2592","7355","51538"
"2594","1845","230017"
"2598","7342","126987"
"2610","7389","301304"
"2613","346","12408"
"2615","623","256326"
"2626","5542","233831"
