"folio","serv_dre","dren_cab","no_saben","dren_plu","prodrplu","pr_plu_e","trat_plu","tra_apli","usoprinc","uso_e_pr","plu_suel","plu_rios","plu_mar","plu_play","plu_este","plu_lago","plu_terr","plu_otro","plu_o_es","dren_ext","ext_reha","ext_sani","ext_dren","ext_cole","tot_conx","con_cabe","conx_loc","conx_dom","conx_ind","conx_com","conx_pub","conx_mix","conx_tot","prest_nu"
"1001","1","98","","1","1","","0","0","0","0","","","","","","","","","0","","","4.866","4.866","974","324115","NSS","NSS","302574","20372","319","850","NA","324115","1"
"1002","1","80","","2","0","","0","","0","","","","","","","","","","","","","7087.41","85","85","13738","1300","12438","13713","","25","","","13738","1"
"1003","1","98","","1","2","","2","","0","","","1","","","","","","","","1.3","","227.8","1.52","","19288","8809","10479","17586","11","1691","NA","NA","19288","1"
"1004","1","98","","2","0","","0","","0","","","","","","","","","","","","","400","400","NSS","4333","1618","2715","4300","1","32","","","4333","1"
"1005","1","96","","1","1","","2","","0","","","1","","","","","","","","13","","101.6","NSS","NSS","34851","20902","13949","32340","337","2171","3","","34851","1"
"1006","1","95","","1","2","","2","","0","","","1","","","","","","","","4.5","0.25","3.5","3","0.5","12504","9700","2804","12157","116","231","NA","NA","12504","1"
"1007","1","60","","2","0","","0","","0","","","","","","","","","","","","","160","0.75","0.6","16770","10526","6244","16236","13","391","37","93","16770","1"
"1008","1","97","","2","0","","0","","0","","","","","","","","","","","","","84","5","2","2383","1416","967","2355","22","6","NA","NA","2383","1"
"1009","1","98","","2","0","","0","","0","","","","","","","","","","","","","48.5","6","NA","7370","1753","5617","7370","","","","","7370","1"
"1010","1","72","","2","0","","0","","0","","","","","","","","","","","","","326","NSS","","5147","NSS","NSS","5048","3","28","68","","5147","1"
"1011","1","98","","1","1","","2","","0","","","1","","","","","","","","3.5","","300","2.53","2","17609","7384","10225","17117","52","345","89","6","17609","1"
"2001","1","59","","1","1","","2","","0","","","1","1","1","1","","","","","NSS","NSS","978","105","NSS","112029","NSS","NSS","102456","370","8656","547","","112029","1"
"2002","1","84","","1","1","","2","","0","","","","","","","","","1","DRENES AGRICOLAS (151 KM) QUE LLEGAN AL RIO NUEVO","1000.67","0.12","3293","0.531","","315632","296969","18663","294143","216","19690","1583","NA","315632","1"
