"folio","ag_potab","no_ex_pl","pl_fu_op","pl_fu_nu","p_constr","p_con_nu","pl_re_am","p_r_a_nu","p_otr_ra","pl_o_esp","nu_en_op","nu_fu_op","nu_const"
"1001","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"1002","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"1003","2","","","NA","","NA","","NA","1","TODOS LOS APROVECHAMIENTOS SON DE POZOS DE AGUA POTABLE, POR LO QUE, NO ES NECESARIA SU POTABILIZACION","NA","NA","NA"
"1004","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"1005","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"1006","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"1007","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"1008","1","","","NA","","NA","","NA","","","1","",""
"1009","1","","","NA","","NA","","NA","","","","1",""
"1010","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"1011","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"2001","1","","","NA","","NA","","NA","","","1","",""
"2002","1","","","NA","","NA","","NA","","","20","","1"
"2003","1","","","NA","","NA","","NA","","","3","",""
"2004","1","","","NA","","NA","","NA","","","3","1",""
"2005","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"2006","1","","","NA","","NA","","NA","","","1","",""
"3001","1","","","NA","","NA","","NA","","","3","",""
"3002","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"3003","1","","","NA","","NA","","NA","","","8","","1"
"3008","1","","","NA","","NA","","NA","","","2","",""
"3009","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4001","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4002","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4003","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4004","2","1","","","","","","","","","NA","NA","NA"
"4005","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4006","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4007","1","","","NA","","NA","","NA","","","1","",""
"4008","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4009","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4010","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4011","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"4012","0","","","","","","","","","","NA","NA","NA"
"5001","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5002","1","","","NA","","NA","","NA","","","2","",""
"5003","1","","","NA","","NA","","NA","","","1","",""
"5004","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5005","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5006","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5007","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5008","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5009","1","","","NA","","NA","","NA","","","","4",""
"5010","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5011","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5012","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5013","1","","","NA","","NA","","NA","","","1","",""
"5014","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5015","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5016","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5017","1","","","NA","","NA","","NA","","","1","",""
"5018","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5019","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5020","2","1","","NA","","NA","","NA","","","NA","NA","NA"
"5021","2","1","","NA","","NA","","NA","","","NA","NA","NA"
