"id_pln","folio","cve_geo","pln_nom","plpotope","rznnoppt","raz_espe","agcruftp","cru_esp","cap_inst","gasto_pr","datoprom","pln_tanq","pln_alma","pln_labo","pln_ctrl","pln_sube","pln_clor","pln_otra","pln_espe","pln_kwh","pln_peso","no_con_e","cost_ope","flt_dire","flt_lent","clar_con","coag_qui","pln_oxid","pln_abla","pln_adso","pln_desi","pln_floc","pln_ioni","pln_osmo","pln_desa","pln_neut","pln_prec","pln_otro","pln_o_es","lodo_env","vol_lodo","unidmedi","ot_espec","trat_lod","lech_sec","fil_band","otro_tra","otro_esp","deslotra","lo_tr_es","deslontr","no_tr_es"
"534","25010","25010073PP","PLANTA POTABILIZADORA LA PALMA DE CHARAY","1","0","","5","CANAL","7","5","2","","","","1","1","","","","NA","NA","1","","","","1","","","","","1","","","","","","","","","2","NA","0","","0","","","","","0","","0",""
"535","2002","02002029PP","PLANTA POTABILIZADORA HIPÓLITO RENTERÍA","1","0","","2","","10","6.2","1","1","1","","","1","1","1","CASETA DE VIGILANCIA","6958","15349","","519223","1","","","","","","","1","","","","","","","1","CRIBADO, PRESEDIMENTACIÓN","2","","0","","0","","","","","0","","0",""
"536","25010","25010071PP","PLANTA POTABILIZADORA TEROQUE VIEJO","1","0","","5","CANAL","20","15","2","1","","","1","1","","","","NA","NA","1","","","","1","","","","","1","1","","","","","","","","2","NA","0","","0","","","","","0","","0",""
"537","27013","27013001PP","PLANTA POTABILIZADORA EL MANGO","1","0","","2","","1500","1448.9","1","1","1","1","1","1","1","","","435172","1095818","","9081331.58","1","1","1","1","","","","1","1","","","","","","","","2","NA","0","","0","","","","","0","","0",""
"538","3001","03001003PP","PLANTA BAHIA MAGDALENA","1","0","","4","","1","0.5","2","1","","","1","1","1","1","FILTROS","NA","NA","1","NSS","","","","","","","","1","","","1","1","","","","","2","NA","0","","0","","","","","0","","0",""
"539","11005","11005001PP","PLANTA POTABILIZADORA COMUNIDAD LA NORITA","1","0","","3","","8.5","0.4","2","1","","","","","","","","1209","1239.7","","76724.14","","","","","","","","1","","","1","1","","","","","2","NA","0","","0","","","","","0","","0",""
"540","15113","15113002PP","GUADALUPE","1","0","","2","","1000","1000","1","1","1","1","1","","1","","","NA","NA","1","90000","","1","","","","","","","","","","","","","","","1","1","2","","1","","","1","SEDIMENTACION","3","","3",""
"541","27004","27004003PP","PLANTA POTABILIZADORA PARRILLA","1","0","","2","","500","397.63","2","1","1","1","1","1","1","","","206675","477933.57","","9005965.41","1","","1","1","1","","","1","1","","","","","1","","","1","161889","5","","2","","","","","0","","6","SE REGRESA AL RIO"
"545","2002","02002025PP","PLANTA POTABILIZADORA CERRO PRIETO 6","1","0","","2","","5","1.1","1","1","","","","1","","","","689","1556","","91628","1","","","","","","","1","","","","","","","1","CRIBADO","2","","0","","0","","","","","0","","0",""
"553","14067","14067003PP","PLANTA POTABILIZADORA MOJONERAS","1","0","","2","","600","480","1","1","1","1","1","1","1","","","16407","51936","","1476046","","","","","1","","","1","","","","","","","","","1","100","5","","1","","1","","","3","","6","TODOS LOS LODOS SE TRATAN"
"554","2002","02002003PP","PLANTA POTABILIZADORA NO.3","1","0","","2","","1250","820.9","1","1","1","1","1","1","1","","","425429","673204","","68483959","","1","1","","","","","1","","","","","","","","","1","NSS","0","","1","1","","1","ESPESAMIENTO","3","","0",""
"555","26070","26070001PP","PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES LAGUNA DE OXIDACION","1","0","","2","","30","30","2","1","","","","","","","","NA","NA","1","5032","1","","","","","","","","","","","","","","","","0","","0","","0","","","","","0","","0",""
"557","14067","14067006PP","PLANTA POTABILIZADORA SAN LUIS","1","0","","2","","100","45","1","1","1","1","1","","1","","","17904","47222","","327936","1","1","","","1","","","1","","","","","","","","","1","20","5","","1","","1","","","3","","3",""
"558","2002","02002034PP","PLANTA POTABILIZADORA REPÚBLICA MEXICANA","1","0","","2","","35","23.3","1","1","","","1","1","1","","","26703","43284","","1939450","1","","","","","","","1","","","","","","","1","PRESEDIMENTACIÓN","2","","0","","0","","","","","0","","0",""
"562","17024","17024001PP","PLANTA POTABILIZADORA EL SALTO-EL CERRITO","1","0","","5","MANANTIAL ""EL SALTO""","26","26","2","1","","","","","","","","180993","30877","","337800","1","","","","","","","","","","","","","","","","1","400","1","","1","1","","","","2","","0",""
"563","21114","21119003PP","PLANTA POTABILIZADORA DE AGUA SULFUROSA PASEO DEL RIO","1","0","","5","MANANTIAL","200","90","1","1","1","1","1","1","1","","","204148","538657","","28639565","1","1","","","","1","","1","","","1","","","","","","2","NA","0","","0","","","","","0","","0",""
"564","13048","13048016PP","PLANTA POTABILIZADORA EL ALAMO","1","0","","5","AGUA DE MINA","120","120.14","1","1","1","","1","1","1","","","304.485","760.082","","NSS","1","","","","1","","","1","","","1","","","","","","2","NA","0","","0","","","","","0","","0",""
