"id_prgrm","folio","pro_nomb","apl_amag","apl_ragu","apl_medi","apl_amdr","apl_rdre","apl_ctra","apl_rtra","apl_drpl","apl_fhid","apl_otro","apl_oesp","prog_ins","prog_rec","gob_mun","gob_est","gob_fed","gob_extr","org_inte","org_ngna","org_ngex"
"8","17025","AMPLIACION DE RED COLONIA GABRIEL TEPEPA","1","","","","","","","","","","","2","254081","","","","","","",""
"9","15123","PROGRAMA DE CONSIENTIZACION","","","","","","","","","","1","MEJORAMIENTO DE LA EFICIENCIA DEL SISTEMA DE AGUA","2","2000","NA","NA","NA","NA","NA","NA","NA"
"10","14055","INFRAESTRUCTURA PARA EL SANEAMIENTO Y ABASTECIMIENTO DE AGUA","","","","","","","","","","1","PERFORACION DE POZO PROFUNDO","1","","560000","2240000","NA","NA","NA","NA","NA"
"11","27005","PROGRAMA DE AGUA POTABLE, DRENAJE Y TRATAMIENTO (PROAGUA)","1","1","1","1","1","1","1","1","1","","","1","","","1000000","1000000","","","",""
"12","27015","PROGRAMA DE AGUA POTABLE, DRENAJE Y TRATAMIENTO (PROAGUA)","1","1","","","1","","","","","","","1","","","180000","420000","","","",""
"13","27002","PROGRAMA DE AGUA POTABLE, DRENAJE Y TRATAMIENTO (PROAGUA)","1","1","","","1","","","","","","","1","","","2149956","5016964","","","",""
"14","27014","PROGRAMA DE AGUA POTABLE, DRENAJE Y TRATAMIENTO (PROAGUA)","1","1","1","1","1","1","1","1","1","","","1","","","22826096","9503076","","","",""
"15","23005","GIRA DEL AGUA Y PUERTAS ABIERTAS (VIRTUAL)","","","","","","","","","","1","EDUCACIÓN Y FORMACIÓN","2","","","","","","","",""
"16","23008","GIRA DEL AGUA Y PUERTAS ABIERTAS (VIRTUAL)","","","","","","","","","","1","EDUCACION Y FORMACION.","2","","","","","","","",""
"17","11007","PROAGUA","","1","","","","","","","","","","1","","2081486.62","2898998.45","2760775.01","","","",""
"18","22011","PCEA","1","","","","","","","","","","","2","16426783.9","NA","NA","NA","NA","NA","NA","NA"
