"folio","plan_lap","agua_nom","plan_dig","plan_pol","plan_eje","plan_acc","plan_eva","conslta","agua_url","pro_agua","num_prog"
"1001","2","","","","","","","0","","1","3"
"1002","2","","","","","","","0","","2","NA"
"1003","2","","","","","","","0","","0",""
"1004","2","","","","","","","0","","0",""
"1005","2","","","","","","","0","","1","4"
"1006","2","","","","","","","0","","0",""
"1007","2","","","","","","","0","","0",""
"1008","2","","","","","","","0","","2","NA"
"1009","2","","","","","","","0","","2","NA"
"1010","2","","","","","","","0","","2","NA"
"1011","2","","","","","","","0","","2","NA"
"2001","1","PLAN MAESTRO DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE ENSENADA","1","1","1","1","","2","","1","2"
"2002","2","","","","","","","0","","1","4"
"2003","1","PLAN HIDRICO DEL ESTADO DE BAJA CALIFORNIA","1","","","1","","1","HTTP://WWW.CEA.GOB.MX/PHEBC/MAQUETA/INDEX.HTML","1","5"
"2004","1","PLAN HIDRICO DEL ESTADO DEL BAJA CALIFORNIA","1","","1","1","","1","HTTP://WWW.CEA.GOB.MX/PEH.HTML","1","3"
"2005","1","PLAN HIDRICO DEL ESTADO DEL BAJA CALIFORNIA","1","","1","1","","1","HTTP://WWW.CEA.GOB.MX/PEH.HTML","1","3"
"2006","2","","","","","","","0","","0",""
"3001","2","","","","","","","0","","1","1"
"3002","2","","","","","","","0","","1","2"
"3003","2","","","","","","","0","","1","4"
"3008","2","","","","","","","0","","1","2"
"3009","2","","","","","","","0","","2","NA"
"4001","2","","","","","","","0","","2","NA"
"4002","2","","","","","","","0","","2","NA"
"4003","2","","","","","","","0","","2","NA"
"4004","2","","","","","","","0","","2","NA"
"4005","2","","","","","","","0","","2","NA"
"4006","2","","","","","","","0","","2","NA"
"4007","2","","","","","","","0","","0",""
"4008","2","","","","","","","0","","2","NA"
"4009","2","","","","","","","0","","2","NA"
"4010","2","","","","","","","0","","2","NA"
"4011","2","","","","","","","0","","2","NA"
"4012","0","","","","","","","0","","0",""
"5001","2","","","","","","","0","","2","NA"
"5002","2","","","","","","","0","","2","NA"
"5003","2","","","","","","","0","","2","NA"
"5004","2","","","","","","","0","","2","NA"
"5005","2","","","","","","","0","","2","NA"
"5006","2","","","","","","","0","","0",""
"5007","2","","","","","","","0","","2","NA"
"5008","2","","","","","","","0","","2","NA"
"5009","2","","","","","","","0","","2","NA"
"5010","2","","","","","","","0","","1","1"
"5011","2","","","","","","","0","","2","NA"
"5012","2","","","","","","","0","","2","NA"
"5013","2","","","","","","","0","","2","NA"
"5014","2","","","","","","","0","","2","NA"
"5015","2","","","","","","","0","","1","1"
"5016","2","","","","","","","0","","2","NA"
"5017","2","","","","","","","0","","2","NA"
"5018","2","","","","","","","0","","1","1"
"5019","2","","","","","","","0","","2","NA"
"5020","2","","","","","","","0","","2","NA"
"5021","2","","","","","","","0","","2","NA"
"5022","2","","","","","","","0","","2","NA"
"5023","2","","","","","","","0","","2","NA"
"5024","2","","","","","","","0","","2","NA"
"5025","2","","","","","","","0","","2","NA"
"5026","2","","","","","","","0","","2","NA"
"5027","2","","","","","","","0","","2","NA"
"5028","2","","","","","","","0","","1","1"
"5029","2","","","","","","","0","","2","NA"
"5030","2","","","","","","","0","","0",""
"5031","2","","","","","","","0","","2","NA"
"5032","2","","","","","","","0","","2","NA"
"5033","2","","","","","","","0","","2","NA"
"5034","2","","","","","","","0","","0",""
"5035","2","","","","","","","0","","1","1"
"5036","2","","","","","","","0","","2","NA"
"5037","2","","","","","","","0","","2","NA"
"5038","2","","","","","","","0","","2","NA"
"6001","2","","","","","","","0","","1","2"
"6002","2","","","","","","","0","","2","NA"
"6003","2","","","","","","","0","","2","NA"
"6004","2","","","","","","","0","","2","NA"
"6005","2","","","","","","","0","","2","NA"
"6006","2","","","","","","","0","","2","NA"
"6007","2","","","","","","","0","","1","2"
"6008","2","","","","","","","0","","2","NA"
"6009","2","","","","","","","0","","1","2"
"6010","2","","","","","","","0","","2","NA"
"7001","2","","","","","","","0","","2","NA"
"7002","2","","","","","","","0","","2","NA"
"7003","2","","","","","","","0","","2","NA"
"7004","2","","","","","","","0","","1","1"
"7005","2","","","","","","","0","","2","NA"
"7006","2","","","","","","","0","","2","NA"
"7007","2","","","","","","","0","","2","NA"
"7008","2","","","","","","","0","","2","NA"
"7009","2","","","","","","","0","","2","NA"
"7010","2","","","","","","","0","","2","NA"
"7011","2","","","","","","","0","","1","1"
"7012","2","","","","","","","0","","1","2"
"7013","2","","","","","","","0","","2","NA"
"7014","2","","","","","","","0","","2","NA"
"7015","2","","","","","","","0","","0",""
"7016","2","","","","","","","0","","2","NA"
"7017","2","","","","","","","0","","2","NA"
"7018","2","","","","","","","0","","2","NA"
"7019","2","","","","","","","0","","2","NA"
"7020","2","","","","","","","0","","2","NA"
"7021","2","","","","","","","0","","2","NA"
"7022","2","","","","","","","0","","2","NA"
"7023","2","","","","","","","0","","2","NA"
"7024","2","","","","","","","0","","2","NA"
"7025","2","","","","","","","0","","2","NA"
"7026","2","","","","","","","0","","2","NA"
"7027","2","","","","","","","0","","2","NA"
"7028","2","","","","","","","0","","2","NA"
"7029","2","","","","","","","0","","0",""
"7030","2","","","","","","","0","","0",""
"7031","2","","","","","","","0","","2","NA"
"7032","2","","","","","","","0","","2","NA"
"7033","2","","","","","","","0","","2","NA"
"7034","2","","","","","","","0","","2","NA"
"7035","2","","","","","","","0","","2","NA"
"7036","2","","","","","","","0","","2","NA"
"7037","2","","","","","","","0","","2","NA"
"7038","2","","","","","","","0","","2","NA"
"7039","2","","","","","","","0","","2","NA"
"7040","2","","","","","","","0","","2","NA"
"7041","2","","","","","","","0","","2","NA"
"7042","2","","","","","","","0","","2","NA"
"7043","2","","","","","","","0","","2","NA"
"7044","2","","","","","","","0","","2","NA"
"7045","2","","","","","","","0","","2","NA"
"7046","2","","","","","","","0","","0",""
"7047","2","","","","","","","0","","2","NA"
"7048","2","","","","","","","0","","2","NA"
"7049","2","","","","","","","0","","2","NA"
"7050","2","","","","","","","0","","2","NA"
"7051","2","","","","","","","0","","2","NA"
"7052","2","","","","","","","0","","2","NA"
"7053","2","","","","","","","0","","2","NA"
"7054","2","","","","","","","0","","1","1"
"7055","2","","","","","","","0","","2","NA"
"7056","2","","","","","","","0","","2","NA"
"7057","2","","","","","","","0","","2","NA"
"7058","2","","","","","","","0","","2","NA"
"7059","2","","","","","","","0","","0",""
"7060","2","","","","","","","0","","0",""
"7061","2","","","","","","","0","","0",""
"7062","2","","","","","","","0","","2","NA"
"7063","2","","","","","","","0","","2","NA"
"7064","1","PROYECTO EJECUTIVO DEL SISTEMA DE AGUA POTABLE PARA CABECERA MUNICIPAL DE OXCHUC CHIAPAS","1","","","1","","2","","2","NA"
"7065","2","","","","","","","0","","2","NA"
"7066","2","","","","","","","0","","2","NA"
"7067","2","","","","","","","0","","2","NA"
"7068","2","","","","","","","0","","2","NA"
"7069","2","","","","","","","0","","2","NA"
"7070","2","","","","","","","0","","2","NA"
"7071","2","","","","","","","0","","2","NA"
"7072","2","","","","","","","0","","2","NA"
"7073","2","","","","","","","0","","2","NA"
"7074","2","","","","","","","0","","2","NA"
"7075","1","PLAN DE SEGURIDAD DEL AGUA","","","1","1","1","2","","2","NA"
"7076","2","","","","","","","0","","2","NA"
"7077","2","","","","","","","0","","2","NA"
"7078","2","","","","","","","0","","0",""
"7079","2","","","","","","","0","","2","NA"
"7080","2","","","","","","","0","","2","NA"
"7081","2","","","","","","","0","","2","NA"
"7082","2","","","","","","","0","","1","1"
"7083","2","","","","","","","0","","2","NA"
"7084","2","","","","","","","0","","2","NA"
"7085","2","","","","","","","0","","2","NA"
"7086","2","","","","","","","0","","2","NA"
"7087","2","","","","","","","0","","2","NA"
"7088","2","","","","","","","0","","2","NA"
"7089","2","","","","","","","0","","0",""
"7090","2","","","","","","","0","","2","NA"
"7091","2","","","","","","","0","","2","NA"
"7092","2","","","","","","","0","","2","NA"
"7093","2","","","","","","","0","","2","NA"
"7094","2","","","","","","","0","","2","NA"
"7096","2","","","","","","","0","","2","NA"
"7097","2","","","","","","","0","","2","NA"
"7098","2","","","","","","","0","","0",""
"7099","2","","","","","","","0","","2","NA"
"7100","2","","","","","","","0","","2","NA"
"7101","2","","","","","","","0","","0",""
"7102","2","","","","","","","0","","2","NA"
"7103","2","","","","","","","0","","2","NA"
"7104","2","","","","","","","0","","2","NA"
"7105","2","","","","","","","0","","2","NA"
"7106","2","","","","","","","0","","2","NA"
"7107","2","","","","","","","0","","2","NA"
"7108","2","","","","","","","0","","2","NA"
"7109","2","","","","","","","0","","2","NA"
"7110","2","","","","","","","0","","2","NA"
"7111","2","","","","","","","0","","2","NA"
"7112","2","","","","","","","0","","2","NA"
"7113","2","","","","","","","0","","2","NA"
"7114","2","","","","","","","0","","2","NA"
"7115","2","","","","","","","0","","2","NA"
"7116","2","","","","","","","0","","2","NA"
"7117","2","","","","","","","0","","2","NA"
"7118","2","","","","","","","0","","2","NA"
"7119","2","","","","","","","0","","2","NA"
"7120","2","","","","","","","0","","2","NA"
"7121","2","","","","","","","0","","2","NA"
"7122","2","","","","","","","0","","2","NA"
"7123","2","","","","","","","0","","2","NA"
"7124","2","","","","","","","0","","2","NA"
"7125","2","","","","","","","0","","2","NA"
"8001","1","PLAN HIDRICO 2040","1","","","","","2","","2","NA"
"8002","2","","","","","","","0","","0",""
"8003","2","","","","","","","0","","2","NA"
"8004","2","","","","","","","0","","2","NA"
"8005","1","PLAN ESTATAL HIDRICO 2040","","","1","","","1","HTTPS://WWW.JCAS.GOB.MX/PEH2040/","2","NA"
"8006","2","","","","","","","0","","1","2"
"8007","2","","","","","","","0","","2","NA"
"8008","2","","","","","","","0","","2","NA"
"8009","2","","","","","","","0","","2","NA"
"8010","2","","","","","","","0","","2","NA"
"8011","1","PLAN ESTATAL HIDRICO 2040","","","1","","","1","HTTPS://WWW.JCAS.GOB.MX/PEH2040/","2","NA"
"8012","2","","","","","","","0","","2","NA"
"8013","2","","","","","","","0","","2","NA"
"8014","2","","","","","","","0","","2","NA"
"8015","2","","","","","","","0","","2","NA"
"8016","2","","","","","","","0","","2","NA"
"8017","2","","","","","","","0","","0",""
"8018","2","","","","","","","0","","2","NA"
"8019","2","","","","","","","0","","2","NA"
"8020","2","","","","","","","0","","2","NA"
"8021","2","","","","","","","0","","1","2"
"8022","2","","","","","","","0","","2","NA"
"8023","2","","","","","","","0","","2","NA"
"8024","2","","","","","","","0","","2","NA"
"8025","2","","","","","","","0","","2","NA"
"8026","2","","","","","","","0","","2","NA"
"8027","2","","","","","","","0","","2","NA"
"8028","2","","","","","","","0","","2","NA"
"8029","2","","","","","","","0","","2","NA"
"8030","2","","","","","","","0","","2","NA"
"8031","2","","","","","","","0","","2","NA"
"8032","1","PLAN ESTATAL HIDRICO 2040 DE CHIHUAHUA","1","1","1","1","1","1","NADB.ORG/UPLOADS/FILES/1_PLAN_ESTATAL_HIDRICO_DE_CHIHUAHUA_2040_2018.PDF","1","1"
"8033","2","","","","","","","0","","2","NA"
"8034","2","","","","","","","0","","1","1"
"8035","2","","","","","","","0","","2","NA"
"8036","1","PLAN ESTATAL HIDRICO 2040","1","","1","","1","1","PLAN ESTATAL HIDRICO 2040","1","4"
"8037","2","","","","","","","0","","2","NA"
"8038","2","","","","","","","0","","2","NA"
"8039","2","","","","","","","0","","2","NA"
"8040","2","","","","","","","0","","2","NA"
"8041","2","","","","","","","0","","0",""
"8042","2","","","","","","","0","","2","NA"
"8043","2","","","","","","","0","","0",""
"8044","2","","","","","","","0","","2","NA"
"8045","2","","","","","","","0","","2","NA"
"8046","2","","","","","","","0","","2","NA"
"8047","2","","","","","","","0","","2","NA"
"8048","2","","","","","","","0","","2","NA"
"8049","2","","","","","","","0","","2","NA"
"8050","2","","","","","","","0","","0",""
"8051","2","","","","","","","0","","2","NA"
