"id_aps","folio","cve_geo","regjurid","inico_aa","terco_aa","inire_aa","terre_aa","otr_publ","otr_prva","otr_soci","ambito","agua_dia","agua_hor","ag_pipas","v_m3_pip","vm3_desp","viv_desp","vm3_dnat","viv_dnat","vm3_vari","viv_vari","vm3_irre","viv_irre","otr_bene","vm3_otro","viv_otro","tot_conf","g_conf_h","g_conf_m","a_conf_h","a_conf_m","o_conf_h","o_conf_m","tot_base","g_base_h","g_base_m","a_base_h","a_base_m","o_base_h","o_base_m","tot_even","g_even_h","g_even_m","a_even_h","a_even_m","o_even_h","o_even_m","tot_hono","g_hono_h","g_hono_m","a_hono_h","a_hono_m","o_hono_h","o_hono_m","ot_reg_e","tot_o_re","g_otro_h","g_otro_m","a_otro_h","a_otro_m","o_otro_h","o_otro_m","tot_pers","g_desa_h","g_desa_m","a_desa_h","a_desa_m","o_desa_h","o_desa_m","sexo","aps_anos","aps_mes","par_ciud","ciud_nom","inspartc","insrepng","ins_o_pr","totl_ins","hombres","mujeres","t_ng_ins","h_ng_ins","m_ng_ins","atribuci","atrb_esp"
"1","15023","15023005PA","11","","","","","","","","2","5","12","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VOLUNTARIOS","7","1","","3","3","","","7","1","","3","3","","","2","NSS","NSS","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"241","15009","15009001PA","4","NA","NA","NA","NA","","","","1","7","24","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","13","2","1","3","3","3","1","17","","","1","1","15","","","","","","","","","","","","","","","","","","","","","","","","30","2","1","4","4","18","1","1","2","5","1","CONSEJO DIRECTIVO DEL ORGANISMO","1","1","","8","6","2","3","2","1","2",""
"285","15015","15015001PA","1","NA","NA","NA","NA","","","","1","7","7","1","720","","","","","685","1000","35","1","","","","13","2","","","1","10","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","14","2","","","2","10","","2","2","3","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"304","14015","14015001PA","1","NA","NA","NA","NA","","","","1","7","24","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","2","2","","","","","","42","1","","5","1","34","1","5","","","1","2","","2","","","","","","","","","","","","","","","","49","3","","6","3","34","3","1","","7","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"312","29001","29001001PA","1","NA","NA","NA","NA","","","","2","7","8","1","5000","1000","2","NSS","NA","NSS","NA","4000","4","","NSS","NA","5","1","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","","","1","3","","1","1","6","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"313","29001","29001002PA","1","NA","NA","NA","NA","","","","4","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","3","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","1","","1","","1","4","4","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"319","5007","05007001PA","4","NA","NA","NA","NA","","","","1","7","18","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","15","1","","2","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","1","","2","3","9","","1","2","5","1","CONSEJO ADMINISTRATIVO","1","2","","9","7","2","6","6","NA","2",""
"320","26001","26001001PA","1","NA","NA","NA","NA","","","","3","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","3","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","1","2","","2","2","8","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"328","5013","05013001PA","1","NA","NA","NA","NA","","","","1","7","15","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","9","1","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","","","","8","","1","1","5","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"333","5014","05014001PA","1","NA","NA","NA","NA","","","","3","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","1","1","","","","","","11","","","","4","7","","","","","","","","","","","","","","","","","","","","","","","","12","1","","","4","7","","1","NSS","6","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"349","29002","29002001PA","1","NA","NA","NA","NA","","","","3","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","4","1","","","1","2","","2","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","6","1","","1","1","3","","1","","1","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
"350","29002","29002003PA","11","NA","NA","NA","NA","","","","4","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","2","NSS","NSS","2","","0","0","","NA","NA","NA","NA","NA","NA","0",""
