"id_local","id_aps","localid","ag_dias","ag_horas"
"3","2541","143763","7","24"
"4","6771","115853","4","4"
"6","452","219218","6","18"
"7","9607","16777","7","24"
"8","11346","205314","3","15"
"10","3022","100490","7","24"
"11","891","28514","7","84"
"16","8820","154103","6","2"
"17","8910","17345","7","17"
"18","1821","142327","2","3"
"19","8010","147015","5","3"
"20","1904","142780","7","24"
"21","1223","77722","4","4"
"23","333","22872","365","24"
"24","4468","152773","7","10"
"25","12402","190762","7","8"
"26","9922","267829","365","24"
"27","7591","177918","2","6"
"30","12032","160964","7","6"
"31","12763","177968","3","1"
"32","8725","59575","7","24"
"34","12028","160969","7","6"
"36","9131","159484","7","4"
"40","6881","118516","1","4"
"41","6883","118518","7","24"
"44","11188","157329","6","8"
"46","9511","118491","7","12"
"47","11234","161732","NA","NA"
"48","11841","159897","NSS","NSS"
"53","11145","190097","NSS","NSS"
"56","6772","115877","NSS","NSS"
"59","11979","159071","NSS","NSS"
"60","798","255432","6","24"
"61","9188","203247","NSS","NSS"
"62","453","217284","7","18"
"63","6284","119041","7","24"
"66","1038","256072","6","12"
"67","10458","161211","7","12"
"70","8983","256181","NSS","NSS"
"71","4881","272000","2","24"
"73","1295","258132","5","5"
"74","2661","142519","7","24"
"75","9563","205856","7","4"
"76","6050","272140","365","20"
"77","10714","191686","4","8"
"79","9683","204710","7","15"
"80","8312","105399","7","24"
"83","4563","42374","7","2"
"84","2223","227067","7","12"
"87","10739","18521","7","4"
"89","4961","272463","5","14"
"91","6463","227739","7","24"
"93","4007","99645","7","24"
"97","11324","156889","3","14"
"98","379","13856","7","24"
"99","376","11789","3","2"
"102","12045","188105","7","20"
"105","7644","267150","7","14"
"107","6778","116000","7","24"
"108","11788","116921","7","24"
"110","397","10818","7","24"
"113","6362","233817","365","24"
"117","10372","161064","7","24"
"118","11333","157022","6","14"
"119","1611","282030","4","3"
"120","1333","265111","7","7"
"121","691","261333","2","12"
"122","11139","189669","4","5"
"123","4841","271535","7","24"
"124","6142","119826","3","1"
"125","1933","263632","8","12"
"126","6631","115189","7","8"
"128","1355","215842","7","12"
"129","5546","264306","7","18"
"130","10926","279716","2","16"
"131","9528","203689","7","22"
"132","9792","273098","2","3"
"133","8678","51408","7","24"
"134","8610","41681","7","24"
"135","11295","96329","7","12"
"136","6221","119174","6","11"
"138","11372","157407","7","10"
"141","1458","213174","7","12"
"142","8418","149968","7","24"
"143","10569","193244","7","10"
"145","9848","149888","7","20"
"146","9606","1264","7","24"
"147","10581","190197","3","3"
"148","11093","195030","7","24"
"150","6765","115768","7","8"
"151","1284","46014","4","48"
"152","9568","208938","6","15"
"153","1274","143348","7","19"
"154","10266","281623","7","18"
"155","9338","203058","7","8"
"159","8880","297804","7","20"
"162","6277","117040","6","12"
"166","9771","260635","7","20"
"168","6561","115098","365","18"
"169","6923","301400","7","24"
"170","8818","106132","2","22"
"171","11342","156902","7","12"
"172","381","14661","7","24"
"174","689","259939","7","24"
"175","1353","267204","7","20"
"176","2943","257712","7","6"
"177","5986","144582","2","7"
"178","6790","116285","7","18"
"179","2923","256389","7","24"
"182","686","258575","5","3"
"183","1452","52586","7","24"
"184","9206","296637","3","10"
"185","6504","273220","7","16"
"187","11339","156906","6","7"
"188","8685","53279","365","12"
"189","12318","175621","3","4"
"190","9841","300500","7","18"
"191","12269","295851","3","12"
"194","8675","50852","4","12"
"195","1459","222744","365","24"
"196","9767","297100","3","3"
"197","11273","161466","5","3.5"
"199","6961","212612","7","15"
"200","8907","157051","3","4.5"
"203","9673","17636","7","20"
"204","2755","281017","4","12"
"205","4041","104931","3","4"
"208","9790","272695","7","8"
"209","1634","98065","7","14.7"
"213","12201","294696","5","12"
"214","4281","261707","2","24"
"216","3668","282948","7","12"
"218","8645","138423","7","8"
"222","2001","267153","7","24"
"223","8159","72290","6","6"
"227","6481","266547","7","24"
"230","829","274835","2","6"
"231","6268","119217","7","2"
"232","10553","192765","7","12"
"233","12344","178638","7","24"
"234","10144","151043","7","5"
"235","6653","152972","7","3"
"236","8390","298065","3","8"
"237","6636","115286","7","12"
"238","763","301031","7","24"
"239","8925","157785","3","5"
"240","8219","301585","365","19.85"
"243","2194","230009","7","24"
"245","1321","261412","7","14"
"246","8908","298838","7","24"
"247","9925","278829","2","2"
"248","11461","192134","7","14"
"249","10744","188449","7","12"
"250","2663","142513","7","24"
"251","3598","278597","7","20"
"253","9855","152882","7","12"
"254","7736","185371","4","24"
"255","10928","203567","7","24"
"256","12996","281677","7","17"
"258","11681","178541","2","1"
"259","7758","183596","7","24"
"260","11411","192151","2","2"
"264","871","265995","365","19"
"267","11726","189918","2","2"
"268","8735","157790","2","2"
"270","2956","280318","3","6"
"271","8006","206448","7","8"
"272","1433","283608","7","4"
"273","1627","95422","7","16"
"277","843","104493","3","8"
"278","9426","120020","4","5"
"279","8404","146868","7","10"
"280","9196","204783","3","5"
"283","12378","272426","5","9"
"284","9601","194657","7","24"
"285","9526","210816","7","4"
"287","12906","158216","2","3"
"290","7646","273466","7","24"
"291","1199","221768","7","24"
"292","2708","260208","8","24"
"295","1283","257981","7","15"
"296","7689","278364","7","24"
"298","12034","160978","7","6"
"299","2948","274882","7","14"
"301","9197","107004","6","20.5"
"302","1053","44040","6","3"
"304","3588","265446","7","12"
"306","9546","210051","7","3"
"310","7695","282001","2","16"
"311","9769","297133","7","16"
"312","7738","186748","7","24"
"313","5281","148133","7","8"
"314","7754","181193","1","10"
"318","1622","277238","7","24"
"320","12735","191414","7","14"
"321","4464","150263","4","24"
"322","11468","299861","7","12"
"324","9481","210440","3","3"
"325","6871","118121","7","10"
"327","4004","102903","7","24"
"328","5541","259701","4","7"
"329","11349","188700","4","12"
"330","12506","174907","7","24"
"331","2721","261063","4","24"
"332","10007","158277","7","8"
"333","1356","268167","7","24"
"335","9352","203336","7","24"
"336","7505","302017","7","24"
"337","12299","186880","7","24"
"339","6567","115141","3","12"
"340","9549","210939","7","21"
"341","9806","158093","3","10"
"342","833","34911","2","2"
"344","11467","299385","7","22"
"345","6452","117265","6","2"
"346","1302","80170","365","10"
"347","6800","116384","6","12"
"349","10291","299480","7","16"
"350","12267","296312","7","16"
"352","12699","177949","7","3"
"353","8861","303100","7","3"
"354","765","98654","7","14"
"356","11118","193645","1","3"
"357","4723","257184","7","24"
"358","9908","207914","7","5"
"360","9374","203426","7","8"
"361","9479","209096","7","18"
"362","11347","174654","2","24"
"363","10295","276779","5","18"
"366","4425","149876","3","5"
"367","8286","294168","7","12"
"369","9217","206656","7","18"
"370","2741","266392","7","24"
"371","1930","259928","2","12"
"372","9720","255115","7","5"
"373","7384","187286","7","10"
"374","7692","278441","7","24"
"375","9128","159431","7","12"
"376","8811","150742","7","21"
"378","10401","162148","5","12"
"379","9579","258227","7","15"
"380","10402","162150","6","8"
"384","2960","97074","7","14"
"385","1296","258146","3","6"
"386","10299","139823","7","24"
"388","9717","255091","7","8"
"390","11901","300172","7","24"
"392","349","254617","7","10"
"393","9329","111330","7","12"
"394","9949","279179","7","18"
"395","12695","177949","7","3"
"396","12698","177949","7","5"
"398","6043","269013","7","24"
"399","780","99587","7","20"
"400","2945","259794","4","20"
"402","753","255046","7","3"
"403","2662","142517","7","6"
"404","11165","188927","3","9"
"409","12636","186829","7","12"
"410","1485","264445","7","6"
"412","1907","142792","3","8"
"413","6025","273355","3","3"
"414","1425","280882","7","12"
"415","8825","153489","7","12"
"417","9341","206033","3","12"
"418","9348","202983","2","4"
"419","9328","110928","7","20"
"420","12308","188753","7","24"
"421","9929","279028","7","20"
"422","8901","54844","2","8"
"423","4352","236181","365","5"
"424","8882","148645","4","3"
"425","2242","144494","NSS","NSS"
"426","9361","113756","7","6"
"427","9362","113756","7","12"
"428","8884","148636","4","2"
"432","11301","283774","7","8"
"433","2561","53153","7","12"
"434","1422","274394","4","24"
"435","7606","182606","3","24"
"436","2710","262164","4","8"
"437","6647","151694","7","12"
"439","10551","189732","7","10"
"440","7596","178303","1","2"
"441","3591","273425","7","24"
"442","8741","158560","2","3"
"443","9512","118501","7","10"
"445","4801","264557","7","8"
"446","9577","160037","3","2"
"449","8812","151370","6","3"
"450","9638","259201","4","12"
"452","6461","257262","7","14"
"453","12363","181528","7","24"
"454","6455","256932","7","12"
"455","10514","282453","7","12"
"456","12003","184204","4","2"
"457","12508","175295","7","19"
"458","12725","177146","7","24"
"459","9777","298700","7","24"
"460","7730","178387","7","24"
"461","9427","120026","1","8"
"464","9800","157401","6","14"
"465","6788","116113","3","13"
"467","9532","254824","7","5"
"468","2222","144498","NSS","NSS"
"469","754","255059","6","5"
"470","12491","157992","2","1"
"471","1105","255646","7","11"
"473","11708","161295","7","6"
"474","1107","255659","7","8"
"476","10390","161264","7","6"
"477","11806","90032","NA","NA"
"478","12761","177971","7","5"
"480","10880","255897","7","24"
"481","11338","156894","7","8"
"483","10845","157835","7","21"
"484","12697","177966","7","1"
"486","9784","300911","7","24"
"487","12025","160957","7","6"
"488","6925","301401","7","24"
"489","9582","254814","5","2"
"491","1036","256079","6","12"
"492","5668","220929","2","1"
"497","11332","156898","3","3"
"499","9581","254823","7","12"
"503","8736","157784","2","3"
"504","11235","161761","7","24"
"505","8737","157782","3","1"
"506","11240","161720","5","4"
"507","7697","282002","1","2"
"508","11704","161283","7","6"
"509","8835","148643","4","3"
"511","12027","160975","7","6"
"512","9129","159448","4","5"
"514","11236","161737","5","6"
"515","10252","161728","7","24"
"516","8955","159715","7","4"
"517","8956","159710","7","10"
"518","10404","162244","7","24"
"519","12024","160973","7","6"
"520","6783","116175","6","12"
"521","10251","161722","7","5"
