"folio","ag_servi","pobl_prc","no_sabe","tot_pres"
"1001","1","99","","2"
"1002","1","70","","1"
"1003","1","99","","1"
"1004","1","98","","1"
"1005","1","98","","1"
"1006","1","95","","1"
"1007","1","80","","1"
"1008","1","99","","1"
"1009","1","98","","1"
"1010","1","78","","1"
"1011","1","98","","1"
"2001","1","79","","1"
"2002","1","98","","1"
"2003","1","96","","1"
"2004","1","98","","1"
"2005","1","98","","1"
"2006","1","63","","1"
"3001","1","99","","1"
"3002","1","98","","1"
"3003","1","98","","1"
"3008","1","83","","1"
"3009","1","96","","1"
"4001","1","90","","1"
"4002","1","NSS","1","1"
"4003","1","85","","1"
"4004","1","96.7","","1"
"4005","1","90","","1"
"4006","1","95","","1"
"4007","1","80","","1"
"4008","1","80","","1"
"4009","1","96.07","","1"
"4010","1","90","","1"
"4011","1","89","","1"
"4012","0","","","NA"
"5001","1","100","","1"
"5002","1","95","","1"
"5003","1","92","","1"
"5004","1","90","","1"
"5005","1","100","","1"
"5006","1","85","","1"
"5007","1","90","","1"
"5008","1","70","","1"
"5009","1","97","","1"
"5010","1","91","","1"
"5011","1","95","","1"
"5012","1","100","","1"
"5013","1","100","","1"
"5014","1","54","","1"
"5015","1","99","","1"
"5016","1","90","","1"
"5017","1","92","","1"
"5018","1","91","","1"
"5019","1","90","","1"
"5020","1","95","","1"
"5021","1","92","","1"
"5022","1","95","","1"
"5023","1","90","","1"
"5024","1","97","","1"
"5025","1","99.1","","1"
"5026","1","96","","1"
"5027","1","93","","1"
"5028","1","98","","1"
"5029","1","98","","1"
"5030","1","98","","1"
"5031","1","94","","1"
"5032","1","98","","1"
"5033","1","95","","1"
"5034","1","85","","1"
"5035","1","99","","1"
"5036","1","100","","1"
"5037","1","100","","1"
"5038","1","99","","1"
"6001","1","95","","1"
"6002","1","100","","1"
"6003","1","99","","1"
"6004","1","99","","1"
"6005","1","99","","1"
"6006","1","95","","1"
"6007","1","99","","1"
"6008","1","95","","1"
"6009","1","100","","1"
"6010","1","100","","1"
"7001","1","80","","1"
"7002","1","NSS","1","1"
"7003","1","70","","1"
"7004","1","80","","1"
"7005","1","80","","1"
"7006","1","20","","1"
"7007","1","80","","1"
"7008","1","90","","1"
"7009","1","70","","1"
"7010","1","80","","1"
"7011","1","80","","1"
"7012","1","NSS","1","1"
"7013","1","80","","1"
"7014","1","80","","1"
"7015","1","80","","1"
"7016","1","80","","1"
"7017","1","90","","1"
"7018","1","60","","1"
"7019","1","70","","1"
"7020","1","80","","1"
"7021","1","80","","1"
"7022","1","80","","1"
"7023","1","100","","2"
"7024","1","80","","1"
"7025","1","80","","1"
"7026","1","80","","1"
"7027","1","85","","1"
"7028","1","99","","1"
"7029","1","90","","1"
"7030","1","80","","1"
"7031","1","80","","1"
"7032","1","80","","1"
"7033","1","80","","1"
"7034","1","80","","1"
"7035","1","75","","1"
"7036","1","80","","1"
"7037","1","85","","1"
"7038","1","80","","1"
"7039","1","70","","1"
"7040","1","100","","1"
"7041","1","80","","1"
"7042","1","90","","1"
"7043","1","95","","1"
"7044","1","80","","1"
"7045","1","95","","1"
"7046","1","80","","1"
"7047","1","80","","1"
"7048","1","95","","1"
"7049","1","80","","1"
"7050","1","80","","1"
"7051","1","70","","1"
"7052","1","80","","1"
"7053","1","80","","1"
"7054","1","80","","1"
"7055","1","45","","1"
"7056","1","80","","1"
"7057","1","10","","1"
"7058","1","90","","1"
"7059","1","80","","1"
"7060","1","70","","1"
"7061","1","80","","1"
"7062","1","85","","1"
"7063","1","100","","1"
"7064","1","80","","1"
"7065","1","80","","1"
"7066","1","80","","1"
"7067","1","90","","1"
"7068","1","95","","1"
"7069","1","100","","1"
"7070","1","80","","1"
"7071","1","NSS","1","1"
"7072","1","80","","1"
"7073","1","80","","1"
"7074","1","95","","1"
"7075","1","70","","1"
"7076","1","80","","1"
"7077","1","80","","1"
"7078","1","80","","1"
"7079","1","75","","1"
"7080","1","80","","1"
"7081","1","100","","1"
"7082","1","70","","1"
"7083","1","95","","1"
"7084","1","80","","1"
"7085","1","80","","1"
"7086","1","80","","1"
"7087","1","80","","1"
"7088","1","85","","1"
"7089","1","57","","1"
"7090","1","80","","1"
"7091","1","95","","1"
"7092","1","90","","1"
"7093","1","80","","1"
"7094","1","80","","1"
"7096","1","40","","1"
"7097","1","NSS","1","1"
"7098","1","95","","1"
"7099","1","80","","1"
"7100","1","90","","1"
"7101","1","90","","1"
"7102","1","80","","1"
"7103","1","90","","1"
"7104","1","90","","1"
"7105","1","90","","1"
"7106","1","80","","1"
"7107","1","90","","1"
"7108","1","90","","1"
"7109","1","80","","1"
"7110","1","95","","1"
"7111","1","NSS","1","1"
"7112","1","85","","1"
"7113","1","80","","1"
"7114","1","95","","1"
"7115","1","70","","1"
"7116","1","80","","1"
"7117","1","80","","1"
"7118","1","60","","1"
"7119","1","30","","1"
"7120","1","80","","1"
"7121","1","80","","1"
"7122","1","90","","1"
"7123","1","90","","1"
"7124","1","87","","1"
"7125","2","NA","","NA"
"8001","1","100","","1"
"8002","1","100","","1"
"8003","1","90","","1"
"8004","1","95","","1"
"8005","1","95","","1"
"8006","1","92","","1"
"8007","1","100","","1"
"8008","1","80","","1"
"8009","1","35","","3"
"8010","1","100","","1"
"8011","1","99.99","","1"
"8012","1","50","","1"
"8013","1","95","","1"
"8014","1","100","","1"
"8015","1","95","","1"
"8016","1","95","","2"
"8017","1","97","","3"
"8018","1","100","","1"
"8019","1","91","","1"
"8020","1","80","","1"
"8021","1","98","","1"
"8022","1","90","","19"
"8023","1","100","","1"
"8024","1","98","","1"
"8025","1","90","","1"
"8026","1","100","","1"
"8027","1","90","","1"
"8028","1","80","","2"
"8029","1","95","","1"
"8030","1","90","","1"
"8031","1","100","","7"
"8032","1","96","","1"
"8033","1","100","","1"
"8034","1","100","","1"
"8035","1","90","","1"
"8036","1","99.8","","1"
"8037","1","97","","1"
"8038","1","100","","1"
"8039","1","100","","1"
"8040","1","99","","1"
"8041","1","100","","1"
"8042","1","100","","1"
"8043","1","95","","1"
"8044","1","97","","5"
"8045","1","98","","1"
"8046","1","100","","1"
"8047","1","70","","1"
"8048","1","100","","1"
"8049","1","95","","1"
"8050","1","98.5","","1"
"8051","1","95","","1"
"8052","1","98","","1"
"8053","1","98","","4"
"8054","1","90","","1"
"8055","1","100","","1"
"8056","1","85","","1"
"8057","1","99","","1"
"8058","1","90","","6"
"8059","1","93","","5"
"8060","1","95","","1"
"8061","1","99","","1"
"8062","1","96","","1"
"8063","1","90","","1"
"8064","1","95","","1"
"8065","1","70","","1"
"8066","1","80","","1"
"8067","1","70","","1"
"9002","1","100","","2"
"9003","1","100","","2"
"9004","1","97.65","","2"
"9005","1","99.45","","2"
"9006","1","100","","2"
"9007","1","99","","2"
"9008","1","95","","2"
"9009","1","89","","2"
"9010","1","99","","2"
"9011","1","90","","2"
"9012","1","80","","2"
"9013","1","85","","2"
"9014","1","100","","2"
"9015","1","100","","2"
"9016","1","100","","2"
"9017","1","100","","1"
"10001","1","90","","1"
"10002","1","80","","1"
"10003","1","98","","1"
"10004","1","77","","1"
"10005","1","99.98","","1"
"10006","1","90","","1"
"10007","1","99","","1"
"10008","1","96","","1"
