COLUMNA,DESCRIPCIÓN,ORIGEN,TIPO_DATO,LONGITUD,CÓDIGO_VALIDO
id_aps,Indica el id,,Numérico,5,1 al 99999
folio,Indica el identificador de cada cuestionario compuesto por la clave de entidad y por la clave de municipio o delegación,,Numérico,5,1001 al 32058
cve_geo,Indica la clave geográfica,,Carácter,10,
regjurid,Indica el régimen jurídico del prestador conforme al sector social al que pertenece,SECC I. 2.1,Numérico,2,0 al 15
inico_aa,Indica el reporte de vigencia de la concesión para el sector privado del régimen jurídico: año de inicio,SECC I. 2.1,Carácter,4,
terco_aa,Indica el reporte de vigencia de la concesión para el sector privado del régimen jurídico: año de termino,SECC I. 2.1,Carácter,4,
inire_aa,Indica el reporte de vigencia  para el sector mixto del régimen jurídico: año de inicio,SECC I. 2.1,Carácter,4,
terre_aa,Indica el reporte de vigencia  para el sector mixto del régimen jurídico: año de termino,SECC I. 2.1,Carácter,4,
otr_publ,Indica otro diferente régimen de gestión bajo la cual operaba el prestador del servicio dependiendo al sector  <público>,SECC I. 2.1,Carácter,5000,
otr_prva,Indica otro diferente régimen de gestión bajo la cual operaba el prestador del servicio dependiendo al sector  <privado>,SECC I. 2.1,Carácter,5000,
otr_soci,Indica otro diferente régimen de gestión bajo la cual operaba el prestador del servicio dependiendo al sector  <social>,SECC I. 2.1,Carácter,5000,
ambito,Indica el ámbito del servicio de agua potable de la red pública proporcionado por el prestador,SECC I. 2.1,Numérico,1,0 al 4
agua_dia,Indica el promedio de días a la semana en los que suministró agua a los usuarios de la red pública durante el año 2020,SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
agua_hor,Indica el promedio de horas al día en las que se suministró agua a los usuarios de la red pública durante el año 2020,SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
ag_pipas,Indica si o no se distribuye agua a usuarios domésticos a través de pipas,SECC I. 2.1,Numérico,1,0 al 2
v_m3_pip,Indica el volumen promedio mensual de agua suministrada a través de pipas a usuarios domésticos o beneficiarios,SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
vm3_desp,"Indica el volumen promedio mensual suministrado
m3 para usuarios afectados por desperfectos en la red de agua",SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
viv_desp,Indica el número promedio mensual de viviendas para usuarios afectados por desperfectos en la red de agua,SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
vm3_dnat,"Indica el volumen promedio mensual suministrado
m3 para usuarios afectados por problemas en la red debido a desastres naturales",SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
viv_dnat,Indica el número promedio mensual de viviendas para usuarios afectados por problemas en la red debido a desastres naturales,SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
vm3_vari,"Indica el volumen promedio mensual suministrado
m3 para usuarios afectados por variaciones estacionales en la disponibilidad de agua",SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
viv_vari,Indica el número promedio mensual de viviendas para usuarios afectados por variaciones estacionales en la disponibilidad de agua,SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
vm3_irre,"Indica el volumen promedio mensual suministrado
m3 para viviendas en asentamientos irregulares, no cubiertas por la red de agua",SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
viv_irre,"Indica el número promedio mensual de viviendas para viviendas en asentamientos irregulares, no cubiertas por la red de agua",SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
otr_bene,Indica se especifique el otro usuario o beneficiario,SECC I. 2.1,Carácter,5000,
vm3_otro,"Indica el volumen promedio mensual suministrado
m3 para otro usuario o beneficiario",SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
viv_otro,Indica el número promedio mensual de viviendas para otro usuario o beneficiario,SECC I. 2.1,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
