"folio","trat_pro","no_e_tra","pt_fu_op","nu_pt_fo","pt_const","nu_pt_cn","pt_re_am","nu_pt_ra","pt_otr_r","pt_ot_es","porctrat","por_t_es","norectra","n_rec_es","tra_e_op","tra_f_op","tr_re_am","tra_cons"
"1001","1","","","NA","","NA","","NA","","","0","","2","","22","","",""
"1002","1","","","NA","","NA","","NA","","","5","","1","","9","","",""
"1003","1","","","NA","","NA","","NA","","","4","","3","","4","","",""
"1004","1","","","NA","","NA","","NA","","","3","","3","","3","","",""
"1005","1","","","NA","","NA","","NA","","","5","NS","3","","14","","1",""
"1006","1","","","NA","","NA","","NA","","","3","","1","","2","","",""
"1007","1","","","NA","","NA","","NA","","","0","","0","","5","","",""
"1008","1","","","NA","","NA","","NA","","","3","","3","","3","","",""
"1009","1","","","NA","","NA","","NA","","","1","","0","","1","","",""
"1010","1","","","NA","","NA","","NA","","","5","0.25","3","","2","","",""
"1011","1","","","NA","","NA","","NA","","","4","","1","","3","","4",""
"2001","1","","","NA","","NA","","NA","","","1","","0","","6","","",""
"2002","1","","","NA","","NA","","NA","","","0","","0","","13","","",""
"2003","1","","","NA","","NA","","NA","","","0","","0","","2","","",""
"2004","1","","","NA","","NA","","NA","","","0","","2","","12","","",""
"2005","1","","","NA","","NA","","NA","","","3","","2","","4","","",""
"2006","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"3001","1","","","NA","","NA","","NA","","","2","","3","","9","","",""
"3002","1","","","NA","","NA","","NA","","","0","","2","","5","","",""
"3003","1","","","NA","","NA","","NA","","","2","","2","","3","","",""
"3008","1","","","NA","","NA","","NA","","","2","","1","","10","","",""
"3009","1","","","NA","","NA","","NA","","","2","","1","","2","","",""
"4001","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4002","1","","","NA","","NA","","NA","","","4","","3","","26","","",""
"4003","1","","","NA","","NA","","NA","","","4","","3","","7","","",""
"4004","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4005","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4006","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4007","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4008","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4009","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4010","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4011","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"4012","0","","","NA","","NA","","NA","","","0","","0","","NA","NA","NA","NA"
"5001","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"5002","1","","","NA","","NA","","NA","","","1","","0","","1","","",""
"5003","2","","","NA","","NA","","NA","","","0","","0","","NA","NA","NA","NA"
"5004","2","","","NA","","NA","","NA","","","0","","0","","NA","NA","NA","NA"
"5005","2","","","NA","","NA","","NA","","","0","","0","","NA","NA","NA","NA"
"5006","1","","","NA","","NA","","NA","","","0","","0","","1","","",""
"5007","2","","","NA","","NA","","NA","","","0","","0","","NA","NA","NA","NA"
"5008","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"5009","1","","","NA","","NA","","NA","","","0","","0","","","","","1"
"5010","1","","","NA","","NA","","NA","","","0","","0","","1","","",""
"5011","2","","","NA","","NA","","NA","","","0","","0","","NA","NA","NA","NA"
"5012","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"5013","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"5014","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"5015","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"5016","0","","","NA","","NA","","NA","","","0","","0","","","","",""
"5017","1","","","NA","","NA","","NA","","","0","","0","","1","","",""
"5018","1","","","NA","","NA","","NA","","","0","","0","","1","","",""
